Stock,10 Years,5 Years,3 Years,TTM
MOLDTKPAC,%,21%,26%,32%
MOTHERSON,14%,12%,39%,86%
MTARTECH,%,%,7%,-46%
MUFTI,%,%,166%,-24%
MUTHOOTFIN,%,16%,4%,20%
NAUKRI,28%,56%,71%,358%
NAVINFLUOR,15%,9%,-2%,-38%
NAZARA,%,61%,97%,77%
NEOGEN,26%,11%,4%,-29%
NESTLEIND,%,%,%,%
PAGEIND,%,%,%,%
PARAS,%,10%,24%,-17%
PERSISTENT,16%,27%,37%,18%
PIDILITIND,15%,14%,16%,40%
PIIND,24%,33%,32%,37%
POLYCAB,35%,29%,27%,47%
PRINCEPIPE,%,%,%,%
RAILTEL,%,4%,3%,-2%
RAYMOND,33%,58%,99%,178%
RELAXO,%,%,%,%
RELIANCE,13%,12%,16%,4%
ROSSARI,%,23%,18%,22%
ROUTE,%,45%,40%,11%
RVNL,%,18%,17%,11%
SBICARD,%,%,%,%
SBIN,17%,99%,44%,21%
SIEMENS,%,17%,36%,44%
SONACOMS,%,24%,32%,32%
SPICELEC,%,%,%,49%
SRF,24%,16%,4%,-38%
SUNPHARMA,8%,23%,25%,16%
TATACONSUM,12%,27%,16%,25%
TATAELXSI,%,16%,43%,41%
TATAMOTORS,8%,93%,128%,1266%
TATAPOWER,77%,75%,45%,9%
TATATECH,%,14%,42%,9%
TCS,9%,8%,12%,11%
TECHM,-2%,-11%,-18%,-51%
TIINDIA,%,28%,43%,-13%
TITAGARH,51%,84%,181%,130%
TITAN,17%,20%,54%,8%
TORNTPHARM,9%,22%,9%,31%
TRENT,59%,57%,101%,206%
TVSMOTOR,25%,19%,41%,33%
UBL,6%,-6%,52%,26%
UNITDSPR,9%,16%,53%,48%
UNOMINDA,68%,25%,62%,33%
VBL,49%,47%,77%,29%
VINATIORGA,%,%,6%,-29%
VOLTAS,1%,-14%,-22%,2%
WESTLIFE,32%,31%,40%,-38%
WIPRO,4%,4%,1%,-3%
YASHO,%,%,39%,-15%
ZENTEC,112%,57%,257%,204%
