Quarterly Results,Stockname,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024
Operating Profit,AARTISURF,,11.63,7.58,8.76,4.18,11.50,8.77,13.57,13.90,14.80,16.26,16.73,14.34,9.62
OPM %,AARTISURF,,7.80%,5.42%,6.48%,2.76%,7.27%,5.78%,10.16%,8.81%,9.95%,11.30%,12.06%,9.04%,6.71%
Other Income,AARTISURF,,0.03,0.00,0.01,0.24,0.10,0.09,0.06,0.09,0.03,0.03,0.03,0.05,0.49
Interest,AARTISURF,,2.53,2.82,3.06,2.25,2.98,3.74,4.16,3.91,3.32,3.66,3.65,3.41,2.57
Depreciation,AARTISURF,,3.42,3.48,3.51,2.04,3.49,4.06,4.01,3.93,3.95,3.85,4.02,4.21,4.23
Profit before tax,AARTISURF,,5.71,1.28,2.20,0.13,5.13,1.06,5.46,6.15,7.56,8.78,9.09,6.77,3.31
Tax %,AARTISURF,,20.84%,35.16%,200.91%,"-1,723.08%",27.68%,69.81%,27.11%,23.90%,30.56%,45.90%,26.40%,31.17%,32.93%
Net Profit,AARTISURF,,4.52,0.83,-2.23,2.37,3.71,0.32,3.98,4.69,5.25,4.74,6.68,4.65,2.22
EPS in Rs,AARTISURF,,5.32,0.98,-2.62,2.79,4.36,0.38,4.68,5.52,6.18,5.58,7.86,5.50,2.62
Raw PDF,AARTISURF,,,,,,,,,,,,,,
Sales,ABB,,1425,1778,2102,1968,2053,2120,2427,2411,2509,2769,2757,3080,2831
Expenses,ABB,,1338,1597,1916,1780,1854,1909,2063,2126,2160,2331,2340,2515,2288
Operating Profit,ABB,,87,181,185,188,199,211,364,285,349,439,417,565,542
OPM %,ABB,,6%,10%,9%,10%,10%,10%,15%,12%,14%,16%,15%,18%,19%
Other Income,ABB,,33,15,101,334,19,88,69,72,75,78,71,87,88
Interest,ABB,,2,2,4,1,3,2,7,2,1,1,8,4,5
Depreciation,ABB,,26,29,23,26,25,27,27,27,29,30,33,31,31
Profit before tax,ABB,,92,165,260,494,189,270,400,328,393,485,447,617,595
Tax %,ABB,,24%,27%,28%,25%,26%,27%,24%,25%,25%,25%,24%,26%,25%
Net Profit,ABB,,70,120,188,373,140,198,305,245,296,363,339,459,443
EPS in Rs,ABB,,3.32,5.66,8.88,17.61,6.62,9.32,14.41,11.56,13.95,17.12,15.98,21.67,20.93
Raw PDF,ABB,,,,,,,,,,,,,,
Sales,ACC,,3885,3749,4226,4427,4468,3987,4537,4791,5201,4435,4914,5409,5155
Expenses,ACC,,3016,3037,3670,3792,4042,3971,4158,4322,4430,3885,4010,4572,4476
Operating Profit,ACC,,869,712,556,635,426,16,379,469,771,549,905,837,679
OPM %,ACC,,22%,19%,13%,14%,10%,0%,8%,10%,15%,12%,18%,15%,13%
Other Income,ACC,,49,65,1,62,58,56,-35,55,80,212,94,350,73
Interest,ACC,,13,17,13,11,15,18,19,15,25,29,34,67,33
Depreciation,ACC,,146,151,160,154,165,173,173,177,200,213,235,235,232
Profit before tax,ACC,,758,610,384,532,305,-118,152,331,626,519,729,885,486
Tax %,ACC,,25%,26%,27%,26%,25%,-26%,26%,29%,25%,25%,26%,-7%,26%
Net Profit,ACC,,569,450,281,396,227,-87,113,236,466,388,538,945,361
EPS in Rs,ACC,,30.32,23.97,14.95,21.10,12.11,-4.65,6.03,12.55,24.82,20.65,28.63,50.31,19.24
Raw PDF,ACC,,,,,,,,,,,,,,
Sales,ADANIENT,,12579,13218,18758,24866,40844,38175,26612,28944,22644,22517,25050,29180,25472
Expenses,ADANIENT,,11782,12335,17986,23603,39102,36306,24983,25337,20119,20087,21824,25985,21767
Operating Profit,ADANIENT,,796,883,772,1262,1742,1869,1629,3607,2525,2430,3226,3195,3706
OPM %,ADANIENT,,6%,7%,4%,5%,4%,5%,6%,12%,11%,11%,13%,11%,15%
Other Income,ADANIENT,,152,379,206,276,222,266,339,-15,370,461,491,-176,591
Interest,ADANIENT,,443,754,708,622,915,934,596,1525,1103,1343,597,1513,1130
Depreciation,ADANIENT,,126,320,354,449,417,531,592,895,714,757,760,811,934
Profit before tax,ADANIENT,,380,189,-84,468,632,670,780,1172,1079,791,2361,696,2232
Tax %,ADANIENT,,48%,35%,16%,46%,35%,35%,18%,38%,33%,50%,19%,62%,26%
Net Profit,ADANIENT,,266,195,2,326,469,432,740,781,677,333,1973,352,1772
EPS in Rs,ADANIENT,,2.47,1.93,-0.11,2.77,4.12,4.04,7.19,6.34,5.91,2.00,16.57,3.95,12.76
Raw PDF,ADANIENT,,,,,,,,,,,,,,
Sales,AFFLE,,152,275,339,315,347,355,376,356,407,431,499,506,520
Expenses,AFFLE,,117,223,272,257,280,284,296,287,328,344,402,408,415
Operating Profit,AFFLE,,35,52,68,58,68,71,80,69,78,87,97,98,104
OPM %,AFFLE,,23%,19%,20%,18%,20%,20%,21%,19%,19%,20%,19%,19%,20%
Other Income,AFFLE,,13,15,14,29,7,13,16,18,10,10,10,27,25
Interest,AFFLE,,1,2,2,2,2,3,3,3,3,6,5,5,4
Depreciation,AFFLE,,5,8,10,9,9,13,14,14,14,18,18,20,19
Profit before tax,AFFLE,,41,57,70,76,64,68,80,70,70,73,83,100,107
Tax %,AFFLE,,13%,16%,11%,10%,14%,13%,14%,11%,6%,9%,8%,13%,19%
Net Profit,AFFLE,,36,48,62,69,55,59,69,62,66,67,77,87,87
EPS in Rs,AFFLE,,2.68,3.57,4.66,5.14,4.09,4.40,5.18,4.68,4.97,5.01,5.48,6.24,6.18
Raw PDF,AFFLE,,,,,,,,,,,,,,
Sales,ALKYLAMINE,,392,349,377,425,473,409,388,412,410,352,322,357,400
Expenses,ALKYLAMINE,,281,273,310,352,358,328,319,335,336,304,262,288,321
Operating Profit,ALKYLAMINE,,111,75,67,73,116,81,70,78,74,48,60,69,79
OPM %,ALKYLAMINE,,28%,22%,18%,17%,24%,20%,18%,19%,18%,14%,19%,19%,20%
Other Income,ALKYLAMINE,,2,4,5,4,4,2,5,2,5,2,5,3,5
Interest,ALKYLAMINE,,1,1,1,1,1,1,1,1,1,2,1,1,0
Depreciation,ALKYLAMINE,,8,8,8,12,12,11,11,12,12,13,17,17,18
Profit before tax,ALKYLAMINE,,104,71,62,65,107,71,63,67,66,36,46,53,66
Tax %,ALKYLAMINE,,25%,24%,26%,28%,24%,27%,27%,28%,25%,25%,28%,28%,26%
Net Profit,ALKYLAMINE,,79,54,46,46,82,52,46,49,50,27,33,38,49
EPS in Rs,ALKYLAMINE,,15.38,10.59,8.98,9.09,16.03,10.26,8.94,9.52,9.74,5.33,6.54,7.52,9.56
Raw PDF,ALKYLAMINE,,,,,,,,,,,,,,
Sales,ANGELONE,,463,527,597,681,682,745,749,826,808,1048,1059,1357,1405
Expenses,ANGELONE,,292,334,361,384,416,429,424,440,487,604,661,827,935
Operating Profit,ANGELONE,,171,193,236,296,266,316,324,386,320,443,398,530,470
OPM %,ANGELONE,,37%,37%,40%,44%,39%,42%,43%,47%,40%,42%,38%,39%,33%
Other Income,ANGELONE,,12,9,8,3,2,0,11,5,4,1,2,1,5
Interest,ANGELONE,,16,18,18,20,20,24,26,21,18,26,36,56,56
Depreciation,ANGELONE,,4,5,5,5,6,7,8,9,9,11,13,17,23
Profit before tax,ANGELONE,,162,179,221,274,243,286,302,362,297,407,351,459,397
Tax %,ANGELONE,,25%,25%,25%,25%,25%,25%,24%,26%,26%,25%,26%,26%,26%
Net Profit,ANGELONE,,121,134,165,205,182,214,228,267,221,304,260,340,293
EPS in Rs,ANGELONE,,14.73,16.24,19.88,24.70,21.85,25.63,27.35,32.00,26.34,36.30,31.01,40.47,32.49
Raw PDF,ANGELONE,,,,,,,,,,,,,,
Sales,ARE&M,,1886,2264,2366,2181,2621,2700,2638,2433,2796,2959,3045,2908,3263
Expenses,ARE&M,,1636,1995,2081,1961,2359,2342,2243,2080,2429,2557,2589,2498,2826
Operating Profit,ARE&M,,250,269,285,220,261,359,395,353,367,402,456,410,437
OPM %,ARE&M,,13%,12%,12%,10%,10%,13%,15%,15%,13%,14%,15%,14%,13%
Other Income,ARE&M,,17,26,19,16,17,24,27,-23,24,29,24,33,30
Interest,ARE&M,,3,4,4,5,5,5,6,8,8,6,8,11,9
Depreciation,ARE&M,,96,99,102,99,96,102,115,124,117,116,122,123,123
Profit before tax,ARE&M,,167,193,198,133,178,275,301,198,266,310,350,309,335
Tax %,ARE&M,,26%,25%,26%,26%,26%,27%,26%,28%,25%,27%,23%,26%,26%
Net Profit,ARE&M,,124,144,145,99,132,201,222,142,198,226,268,230,249
EPS in Rs,ARE&M,,7.27,8.45,8.51,5.79,7.73,11.78,12.99,8.34,11.61,13.25,15.68,12.55,13.61
Raw PDF,ARE&M,,,,,,,,,,,,,,
Sales,ASAHIINDIA,,604,797,829,944,923,1014,1010,1072,1089,1120,1044,1105,1133
Expenses,ASAHIINDIA,,485,610,614,701,702,799,821,902,880,934,880,927,951
Operating Profit,ASAHIINDIA,,118,187,216,243,221,215,188,170,209,186,163,178,181
OPM %,ASAHIINDIA,,20%,23%,26%,26%,24%,21%,19%,16%,19%,17%,16%,16%,16%
Other Income,ASAHIINDIA,,3,7,7,11,8,9,7,9,7,8,2,2,5
Interest,ASAHIINDIA,,33,32,28,28,26,26,27,26,34,34,34,33,32
Depreciation,ASAHIINDIA,,37,40,43,40,40,40,39,41,41,43,46,48,47
Profit before tax,ASAHIINDIA,,52,122,151,186,163,159,129,112,141,117,85,100,107
Tax %,ASAHIINDIA,,33%,34%,34%,32%,35%,34%,36%,39%,27%,26%,26%,27%,28%
Net Profit,ASAHIINDIA,,35,81,100,128,106,104,83,68,103,86,63,73,77
EPS in Rs,ASAHIINDIA,,1.45,3.34,4.12,5.27,4.40,4.33,3.45,2.84,4.27,3.57,2.61,3.04,3.21
Raw PDF,ASAHIINDIA,,,,,,,,,,,,,,
Sales,ASHOKLEY,,4088,5562,6660,9927,8470,9600,10400,13203,9691,11429,11093,13578,10724
Expenses,ASHOKLEY,,3752,4987,6002,8733,7701,8580,9055,11245,8183,9559,9131,10975,8856
Operating Profit,ASHOKLEY,,336,576,658,1194,770,1020,1344,1958,1509,1870,1961,2603,1868
OPM %,ASHOKLEY,,8%,10%,10%,12%,9%,11%,13%,15%,16%,16%,18%,19%,17%
Other Income,ASHOKLEY,,14,25,-34,-233,5,32,36,97,53,-1,46,-25,36
Interest,ASHOKLEY,,462,479,465,463,467,499,545,582,655,715,783,829,904
Depreciation,ASHOKLEY,,211,207,214,234,212,209,220,259,227,227,241,233,235
Profit before tax,ASHOKLEY,,-324,-84,-56,264,96,344,615,1214,679,927,984,1516,765
Tax %,ASHOKLEY,,-22%,-1%,92%,40%,77%,46%,43%,34%,14%,39%,38%,38%,28%
Net Profit,ASHOKLEY,,-252,-84,-108,158,22,186,351,803,584,569,609,934,551
EPS in Rs,ASHOKLEY,,-0.93,-0.35,-0.41,0.48,0.02,0.56,1.09,2.56,1.85,1.79,1.91,2.91,1.73
Raw PDF,ASHOKLEY,,,,,,,,,,,,,,
Sales,ASIANPAINT,,5585,7096,8527,7893,8607,8458,8637,8787,9182,8479,9103,8731,8970
Expenses,ASIANPAINT,,4674,6192,6985,6449,7051,7230,7025,6923,7061,6762,7047,7039,7276
Operating Profit,ASIANPAINT,,911,904,1542,1443,1556,1228,1611,1865,2121,1716,2056,1691,1694
OPM %,ASIANPAINT,,16%,13%,18%,18%,18%,15%,19%,21%,23%,20%,23%,19%,19%
Other Income,ASIANPAINT,,90,148,87,-26,88,118,122,104,228,194,186,212,193
Interest,ASIANPAINT,,21,24,27,23,29,35,41,39,46,51,54,54,55
Depreciation,ASIANPAINT,,201,203,208,205,208,216,214,220,198,209,220,226,228
Profit before tax,ASIANPAINT,,779,826,1394,1189,1407,1094,1478,1710,2105,1651,1968,1624,1604
Tax %,ASIANPAINT,,26%,27%,26%,26%,26%,27%,26%,26%,25%,25%,25%,21%,26%
Net Profit,ASIANPAINT,,574,605,1031,874,1036,804,1097,1258,1575,1232,1475,1275,1187
EPS in Rs,ASIANPAINT,,5.93,6.21,10.59,8.87,10.60,8.16,11.18,12.87,16.16,12.57,15.09,13.10,12.20
Raw PDF,ASIANPAINT,,,,,,,,,,,,,,
Sales,ASTRAL,,701,1200,1103,1391,1213,1172,1268,1506,1283,1363,1370,1625,1384
Expenses,ASTRAL,,571,988,905,1176,1042,1028,1081,1199,1082,1143,1165,1334,1169
Operating Profit,ASTRAL,,129,212,198,215,171,144,186,307,202,220,205,291,214
OPM %,ASTRAL,,18%,18%,18%,15%,14%,12%,15%,20%,16%,16%,15%,18%,16%
Other Income,ASTRAL,,4,8,6,16,14,14,-2,12,12,13,6,10,12
Interest,ASTRAL,,5,1,2,5,13,14,9,3,6,8,8,8,8
Depreciation,ASTRAL,,31,31,32,33,43,45,46,44,46,49,50,52,56
Profit before tax,ASTRAL,,98,187,170,193,128,99,130,272,162,177,154,241,163
Tax %,ASTRAL,,24%,23%,25%,25%,25%,24%,27%,24%,26%,26%,26%,25%,27%
Net Profit,ASTRAL,,75,143,128,144,96,75,95,206,119,132,113,181,120
EPS in Rs,ASTRAL,,2.76,5.27,4.75,5.28,3.32,2.57,3.46,7.66,4.46,4.88,4.23,6.76,4.48
Raw PDF,ASTRAL,,,,,,,,,,,,,,
Revenue,AXISBANK,,16302,16683,17653,18209,19193,20783,22843,24630,26246,27418,28865,30231,31159
Interest,AXISBANK,,8367,8598,8795,9162,9565,10150,11094,12580,13972,14749,15943,16727,17261
Expenses,AXISBANK,,8504,7827,7994,7936,7168,7450,8577,8101,9731,10059,10506,11124,11892
Financing Profit,AXISBANK,,-570,258,864,1111,2460,3182,3171,3948,2543,2609,2416,2379,2006
Financing Margin %,AXISBANK,,-4%,2%,5%,6%,13%,15%,14%,16%,10%,10%,8%,8%,6%
Other Income,AXISBANK,,3754,4284,4438,4792,3423,4390,5148,-7101,5648,5705,6272,7606,6637
Depreciation,AXISBANK,,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,AXISBANK,,3184,4542,5301,5903,5883,7573,8319,-3153,8192,8314,8688,9985,8643
Tax %,AXISBANK,,25%,26%,25%,25%,25%,26%,25%,70%,26%,25%,25%,24%,25%
Net Profit,AXISBANK,,2374,3406,3983,4444,4402,5636,6215,-5334,6113,6230,6520,7630,6467
EPS in Rs,AXISBANK,,7.69,11.05,12.90,14.39,14.26,18.27,20.12,-17.43,19.78,20.13,21.05,24.62,20.83
Gross NPA %,AXISBANK,,,,,,,,,,,,,,
Net NPA %,AXISBANK,,,,,,,,,,,,,,
Raw PDF,AXISBANK,,,,,,,,,,,,,,
Sales,BAJAJ-AUTO,,7386,8762,9022,7975,8005,10203,9319,8929,10312,10838,12165,11555,11932
Expenses,BAJAJ-AUTO,,6268,7362,7650,6614,6719,8453,7561,7272,8380,8708,9750,9271,9562
Operating Profit,BAJAJ-AUTO,,1118,1400,1371,1361,1286,1750,1757,1657,1932,2130,2415,2284,2370
OPM %,BAJAJ-AUTO,,15%,16%,15%,17%,16%,17%,19%,19%,19%,20%,20%,20%,20%
Other Income,BAJAJ-AUTO,,440,1085,489,666,320,532,271,595,351,552,356,444,335
Interest,BAJAJ-AUTO,,2,2,2,3,4,11,8,16,12,7,12,30,47
Depreciation,BAJAJ-AUTO,,64,66,70,70,68,67,75,76,87,92,93,93,95
Profit before tax,BAJAJ-AUTO,,1492,2417,1788,1954,1534,2203,1945,2160,2184,2584,2666,2606,2564
Tax %,BAJAJ-AUTO,,22%,16%,20%,22%,24%,22%,24%,21%,25%,22%,24%,23%,24%
Net Profit,BAJAJ-AUTO,,1170,2040,1430,1526,1163,1719,1473,1705,1644,2020,2033,2011,1942
EPS in Rs,BAJAJ-AUTO,,40.44,70.49,49.41,52.74,40.20,59.42,52.05,60.25,58.11,71.39,71.78,72.05,69.55
Raw PDF,BAJAJ-AUTO,,,,,,,,,,,,,,
Sales,BAJAJELEC,,857,1302,1320,1334,1129,1226,1309,1292,1112,1113,1228,1188,1155
Expenses,BAJAJELEC,,856,1208,1228,1271,1056,1130,1204,1197,1045,1038,1171,1138,1080
Operating Profit,BAJAJELEC,,1,94,92,63,73,96,106,95,68,75,58,50,75
OPM %,BAJAJELEC,,0%,7%,7%,5%,6%,8%,8%,7%,6%,7%,5%,4%,7%
Other Income,BAJAJELEC,,9,21,8,17,7,18,10,20,20,6,43,22,11
Interest,BAJAJELEC,,23,19,16,11,7,10,15,12,12,14,20,18,16
Depreciation,BAJAJELEC,,17,17,17,18,17,19,17,22,23,27,30,30,32
Profit before tax,BAJAJELEC,,-31,79,66,52,57,84,83,80,53,41,50,24,38
Tax %,BAJAJELEC,,-20%,21%,27%,26%,28%,26%,27%,35%,29%,33%,26%,-20%,27%
Net Profit,BAJAJELEC,,-25,63,48,39,41,62,61,52,37,27,37,29,28
EPS in Rs,BAJAJELEC,,-1.91,5.48,4.20,3.42,3.74,5.24,5.31,4.52,3.23,2.37,3.25,2.54,2.44
Raw PDF,BAJAJELEC,,,,,,,,,,,,,,
Sales,BAJAJFINSV,,13949,18008,17587,18862,15888,20803,21755,23625,23280,26023,29038,32041,31480
Expenses,BAJAJFINSV,,9860,12696,11783,12769,9573,13416,13924,15470,13935,16073,18601,21108,19655
Operating Profit,BAJAJFINSV,,4090,5312,5804,6093,6315,7387,7831,8154,9345,9950,10438,10933,11825
OPM %,BAJAJFINSV,,29%,30%,33%,32%,40%,36%,36%,35%,40%,38%,36%,34%,38%
Other Income,BAJAJFINSV,,0,0,33,0,0,0,0,2,3,0,2,4,3
Interest,BAJAJFINSV,,2190,2382,2445,2481,2564,2961,3241,3436,4020,4449,4777,5154,5592
Depreciation,BAJAJFINSV,,132,138,143,149,157,168,172,181,202,209,232,257,267
Profit before tax,BAJAJFINSV,,1767,2792,3249,3462,3594,4258,4419,4540,5125,5292,5431,5527,5968
Tax %,BAJAJFINSV,,19%,28%,28%,27%,28%,30%,25%,27%,28%,29%,26%,26%,29%
Net Profit,BAJAJFINSV,,1433,1998,2349,2534,2578,2997,3300,3335,3709,3756,4045,4085,4209
EPS in Rs,BAJAJFINSV,,5.23,7.05,7.89,8.46,8.23,9.77,11.19,11.11,12.20,12.09,13.52,13.28,13.39
Raw PDF,BAJAJFINSV,,,,,,,,,,,,,,
Revenue,BAJFINANCE,,6742,7731,8537,8626,9284,9970,10787,11364,12498,13378,14164,14926,16099
Interest,BAJFINANCE,,2254,2398,2535,2568,2645,2972,3351,3592,4103,4537,4868,5217,5684
Expenses,BAJFINANCE,,3035,3236,3040,2691,3026,3129,3308,3382,3693,3929,4229,4420,4956
Financing Profit,BAJFINANCE,,1454,2098,2962,3367,3613,3869,4129,4390,4703,4913,5066,5289,5459
Financing Margin %,BAJFINANCE,,22%,27%,35%,39%,39%,39%,38%,39%,38%,37%,36%,35%,34%
Other Income,BAJFINANCE,,1,1,2,3,2,4,2,5,5,4,5,9,6
Depreciation,BAJFINANCE,,89,95,97,104,111,121,119,134,156,159,176,193,200
Profit before tax,BAJFINANCE,,1366,2004,2868,3265,3503,3752,4012,4261,4551,4758,4896,5105,5265
Tax %,BAJFINANCE,,27%,26%,26%,26%,26%,26%,26%,26%,24%,25%,26%,25%,26%
Net Profit,BAJFINANCE,,1002,1481,2125,2420,2596,2781,2973,3158,3437,3551,3639,3825,3912
EPS in Rs,BAJFINANCE,,16.61,24.54,35.21,39.96,42.88,45.93,49.11,52.16,56.72,58.60,58.88,61.79,63.20
Gross NPA %,BAJFINANCE,,2.96%,2.45%,1.73%,1.60%,1.25%,1.17%,1.14%,0.94%,0.87%,0.91%,0.95%,0.85%,0.86%
Net NPA %,BAJFINANCE,,1.46%,1.10%,0.78%,0.68%,0.51%,0.44%,0.41%,0.34%,0.31%,0.31%,0.37%,0.37%,0.38%
Raw PDF,BAJFINANCE,,,,,,,,,,,,,,
Sales,BALAMINES,,451,526,565,780,670,628,586,471,464,381,383,414,385
Expenses,BALAMINES,,309,394,410,584,455,455,458,378,366,327,309,316,319
Operating Profit,BALAMINES,,142,131,155,196,215,173,128,93,98,54,74,98,66
OPM %,BALAMINES,,31%,25%,27%,25%,32%,27%,22%,20%,21%,14%,19%,24%,17%
Other Income,BALAMINES,,3,3,4,5,5,3,3,6,6,7,8,9,8
