Profit and Loss,Stockname,TTM,Mar 2010,Sep 2010,Mar 2011,Sep 2011,Mar 2012,Dec 2012,Mar 2013,Jun 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Sep 2016,Dec 2016,Mar 2017,Sep 2017,Dec 2017,Mar 2018,Sep 2018,Dec 2018,Mar 2019,Sep 2019,Dec 2019,Mar 2020,Sep 2020,Dec 2020,Mar 2021,Sep 2021,Dec 2021,Mar 2022,Sep 2022,Dec 2022,Mar 2023,Sep 2023,Dec 2023,Mar 2024
Sales,532407,317,,,,,,,10,,,8,,,,6,,,,5,,,38,,,60,,,75,,,99,,,105,,,148,,,198,,,294
Expenses,532407,282,,,,,,,17,,,14,,,,8,,,,14,,,37,,,66,,,91,,,114,,,98,,,125,,,172,,,260
Operating Profit,532407,35,,,,,,,-7,,,-7,,,,-2,,,,-9,,,0,,,-5,,,-16,,,-15,,,7,,,23,,,26,,,34
OPM %,532407,11%,,,,,,,-69%,,,-88%,,,,-37%,,,,-165%,,,0%,,,-9%,,,-21%,,,-15%,,,7%,,,15%,,,13%,,,12%
Other Income,532407,3,,,,,,,-6,,,-1,,,,0,,,,0,,,3,,,0,,,2,,,-16,,,2,,,5,,,5,,,3
Interest,532407,6,,,,,,,1,,,2,,,,2,,,,3,,,2,,,5,,,5,,,6,,,9,,,9,,,8,,,6
Depreciation,532407,20,,,,,,,1,,,0,,,,0,,,,0,,,0,,,2,,,9,,,9,,,9,,,13,,,17,,,20
Profit before tax,532407,12,,,,,,,-14,,,-10,,,,-5,,,,-12,,,1,,,-13,,,-28,,,-46,,,-9,,,6,,,6,,,11
Tax %,532407,,,,,,,,-0%,,,-0%,,,,-0%,,,,-0%,,,9%,,,0%,,,3%,,,-1%,,,1%,,,0%,,,1%,,,13%
Net Profit,532407,11,,,,,,,-14,,,-10,,,,-5,,,,-12,,,1,,,-13,,,-29,,,-46,,,-9,,,6,,,6,,,10
EPS in Rs,532407,0.58,,,,,,,-3.13,,,-2.13,,,,-1.01,,,,-2.59,,,0.09,,,-0.96,,,-1.96,,,-2.91,,,-0.58,,,0.40,,,0.37,,,0.53
Dividend Payout %,532407,,,,,,,,-0%,,,-0%,,,,-0%,,,,-0%,,,-0%,,,-0%,,,-0%,,,-0%,,,-0%,,,-0%,,,-0%,,,-0%
Sales,544021,858,,,,,,,,,,,,,,,,,,,,,,,,,,,755,,,716,,,603,,,691,,,741,,,882
Expenses,544021,788,,,,,,,,,,,,,,,,,,,,,,,,,,,578,,,568,,,518,,,567,,,623,,,793
Operating Profit,544021,70,,,,,,,,,,,,,,,,,,,,,,,,,,,177,,,148,,,85,,,124,,,118,,,89
OPM %,544021,8%,,,,,,,,,,,,,,,,,,,,,,,,,,,23%,,,21%,,,14%,,,18%,,,16%,,,10%
Other Income,544021,74,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,38,,,49,,,79,,,42,,,68
Interest,544021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,1,,,0,,,1,,,2
Depreciation,544021,29,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,27,,,17,,,17,,,18,,,27
Profit before tax,544021,113,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,,157,,,116,,,186,,,140,,,128
Tax %,544021,,,,,,,,,,,,,,,,,,,,,,,,,,,,32%,,,23%,,,20%,,,22%,,,24%,,,24%
Net Profit,544021,88,,,,,,,,,,,,,,,,,,,,,,,,,,,124,,,121,,,92,,,144,,,107,,,97
EPS in Rs,544021,21.85,,,,,,,,,,,,,,,,,,,,,,,,,,,30.90,,,30.31,,,22.99,,,35.75,,,26.47,,,24.05
Dividend Payout %,544021,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,0%,,,0%,,,126%,,,38%,,,42%
Sales,AARTIDRUGS,2423,479,,501,,,,,,,,,,,1097,,,,1140,,,1195,,,1244,,,1561,,,1806,,,2155,,,2489,,,2716,,,2529
Expenses,AARTIDRUGS,2125,396,,432,,,,,,,,,,,925,,,,960,,,1005,,,1042,,,1350,,,1541,,,1714,,,2156,,,2407,,,2212
Operating Profit,AARTIDRUGS,297,83,,69,,,,,,,,,,,172,,,,180,,,190,,,202,,,211,,,266,,,440,,,333,,,309,,,316
OPM %,AARTIDRUGS,12%,17%,,14%,,,,,,,,,,,16%,,,,16%,,,16%,,,16%,,,14%,,,15%,,,20%,,,13%,,,11%,,,13%
Other Income,AARTIDRUGS,5,0,,0,,,,,,,,,,,1,,,,0,,,4,,,1,,,6,,,6,,,5,,,11,,,2,,,4
Interest,AARTIDRUGS,34,19,,17,,,,,,,,,,,42,,,,48,,,40,,,38,,,44,,,37,,,26,,,24,,,37,,,34
Depreciation,AARTIDRUGS,52,17,,19,,,,,,,,,,,31,,,,37,,,38,,,40,,,43,,,49,,,50,,,50,,,50,,,51
Profit before tax,AARTIDRUGS,216,47,,33,,,,,,,,,,,100,,,,95,,,116,,,125,,,131,,,185,,,369,,,270,,,224,,,236
Tax %,AARTIDRUGS,,40%,,29%,,,,,,,,,,,23%,,,,28%,,,29%,,,34%,,,32%,,,24%,,,24%,,,24%,,,26%,,,27%
Net Profit,AARTIDRUGS,157,29,,24,,,,,,,,,,,77,,,,69,,,82,,,82,,,90,,,141,,,280,,,205,,,166,,,172
EPS in Rs,AARTIDRUGS,17.07,2.92,,2.46,,,,,,,,,,,7.97,,,,7.09,,,8.57,,,8.73,,,9.52,,,15.17,,,30.09,,,22.14,,,17.96,,,18.65
Dividend Payout %,AARTIDRUGS,,21%,,25%,,,,,,,,,,,41%,,,,24%,,,3%,,,3%,,,3%,,,3%,,,8%,,,5%,,,6%,,,5%
Sales,AARTIIND,6814,,,,,,,2086,,,2619,,,,2890,,,,3006,,,3163,,,3806,,,4168,,,4186,,,4506,,,6086,,,6619,,,6372
Expenses,AARTIIND,5734,,,,,,,1725,,,2217,,,,2424,,,,2434,,,2509,,,3106,,,3202,,,3209,,,3525,,,4365,,,5530,,,5391
Operating Profit,AARTIIND,1080,,,,,,,361,,,402,,,,466,,,,572,,,654,,,700,,,965,,,977,,,982,,,1720,,,1089,,,982
OPM %,AARTIIND,16%,,,,,,,17%,,,15%,,,,16%,,,,19%,,,21%,,,18%,,,23%,,,23%,,,22%,,,28%,,,16%,,,15%
Other Income,AARTIIND,14,,,,,,,4,,,11,,,,9,,,,6,,,2,,,7,,,2,,,9,,,1,,,1,,,1,,,3
Interest,AARTIIND,235,,,,,,,95,,,118,,,,138,,,,117,,,117,,,132,,,183,,,125,,,86,,,102,,,168,,,211
Depreciation,AARTIIND,390,,,,,,,83,,,89,,,,82,,,,98,,,123,,,146,,,163,,,185,,,231,,,246,,,310,,,378
Profit before tax,AARTIIND,469,,,,,,,187,,,206,,,,255,,,,363,,,416,,,429,,,622,,,676,,,665,,,1372,,,611,,,395
Tax %,AARTIIND,,,,,,,,29%,,,26%,,,,24%,,,,26%,,,21%,,,19%,,,19%,,,19%,,,19%,,,14%,,,11%,,,-5%
Net Profit,AARTIIND,484,,,,,,,135,,,163,,,,208,,,,268,,,328,,,346,,,504,,,547,,,535,,,1186,,,545,,,416
EPS in Rs,AARTIIND,13.35,,,,,,,4.25,,,4.58,,,,5.81,,,,7.71,,,9.62,,,10.24,,,14.18,,,15.39,,,15.02,,,32.71,,,15.04,,,11.49
Dividend Payout %,AARTIIND,,,,,,,,24%,,,25%,,,,24%,,,,28%,,,3%,,,2%,,,19%,,,11%,,,10%,,,11%,,,17%,,,9%
Sales,AARTIPHARM,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,1200,,,1945,,,1853
Expenses,AARTIPHARM,1552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,993,,,1603,,,1467
Operating Profit,AARTIPHARM,398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,207,,,342,,,386
OPM %,AARTIPHARM,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17%,,,18%,,,21%
Other Income,AARTIPHARM,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,3,,,2,,,5
Interest,AARTIPHARM,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,12,,,21,,,17
Depreciation,AARTIPHARM,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,42,,,63,,,73
Profit before tax,AARTIPHARM,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,155,,,261,,,300
Tax %,AARTIPHARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21%,,,26%,,,28%
Net Profit,AARTIPHARM,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,122,,,193,,,217
EPS in Rs,AARTIPHARM,24.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.35,,,23.93
Dividend Payout %,AARTIPHARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,9%,,,13%
Sales,AARTISURF,585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326,,,466,,,576,,,601,,,590
Expenses,AARTISURF,528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,,,420,,,543,,,554,,,528
Operating Profit,AARTISURF,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,46,,,32,,,48,,,62
OPM %,AARTISURF,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7%,,,10%,,,6%,,,8%,,,11%
Other Income,AARTISURF,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,0
Interest,AARTISURF,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,10,,,11,,,15,,,14
Depreciation,AARTISURF,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,12,,,12,,,15,,,16
Profit before tax,AARTISURF,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,23,,,9,,,18,,,32
Tax %,AARTISURF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29%,,,6%,,,41%,,,29%,,,34%
Net Profit,AARTISURF,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,22,,,5,,,13,,,21
EPS in Rs,AARTISURF,21.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.46,,,25.45,,,6.46,,,14.94,,,25.22
Dividend Payout %,AARTISURF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,11%,,,0%,,,0%,,,0%
Sales,ABB,11438,,,,,,7562,,,7719,,,,7730,,,,8136,,,8642,,,6094,,,6690,,,7315,,,5821,,,6934,,,8568,,,10447,
Expenses,ABB,9474,,,,,,7212,,,7230,,,,7154,,,,7402,,,7932,,,5669,,,6224,,,6777,,,5553,,,6368,,,7600,,,8945,
Operating Profit,ABB,1963,,,,,,350,,,489,,,,576,,,,734,,,710,,,425,,,466,,,538,,,268,,,566,,,968,,,1501,
OPM %,ABB,17%,,,,,,5%,,,6%,,,,7%,,,,9%,,,8%,,,7%,,,7%,,,7%,,,5%,,,8%,,,11%,,,14%,
Other Income,ABB,323,,,,,,7,,,3,,,,14,,,,6,,,122,,,267,,,339,,,26,,,170,,,266,,,506,,,289,
Interest,ABB,17,,,,,,57,,,116,,,,122,,,,106,,,108,,,62,,,60,,,28,,,25,,,19,,,15,,,17,
Depreciation,ABB,126,,,,,,94,,,103,,,,113,,,,160,,,151,,,101,,,93,,,90,,,120,,,103,,,105,,,120,
Profit before tax,ABB,2144,,,,,,206,,,272,,,,355,,,,475,,,573,,,528,,,652,,,445,,,293,,,711,,,1353,,,1653,
Tax %,ABB,,,,,,,33%,,,35%,,,,36%,,,,37%,,,35%,,,21%,,,22%,,,32%,,,25%,,,27%,,,25%,,,25%,
Net Profit,ABB,1604,,,,,,137,,,177,,,,229,,,,300,,,374,,,420,,,511,,,303,,,219,,,520,,,1016,,,1242,
EPS in Rs,ABB,75.70,,,,,,6.48,,,8.35,,,,10.78,,,,14.15,,,17.67,,,19.82,,,24.11,,,14.32,,,10.35,,,24.53,,,47.96,,,58.61,
Dividend Payout %,ABB,,,,,,,46%,,,36%,,,,34%,,,,26%,,,23%,,,22%,,,20%,,,34%,,,48%,,,21%,,,11%,,,41%,
Sales,ACC,19913,,,,,,11275,,,11062,,,,11646,,,,11706,,,10990,,,13285,,,14802,,,15658,,,13786,,,16152,,,,22210,,,19959
Expenses,ACC,16943,,,,,,9078,,,9416,,,,10116,,,,10123,,,9532,,,11370,,,12754,,,13245,,,11431,,,13154,,,,20285,,,16897
Operating Profit,ACC,2970,,,,,,2197,,,1646,,,,1529,,,,1583,,,1458,,,1915,,,2048,,,2413,,,2355,,,2998,,,,1925,,,3062
OPM %,ACC,15%,,,,,,19%,,,15%,,,,13%,,,,14%,,,13%,,,14%,,,14%,,,15%,,,17%,,,19%,,,,9%,,,15%
Other Income,ACC,728,,,,,,-72,,,265,,,,241,,,,-90,,,115,,,137,,,153,,,332,,,50,,,164,,,,196,,,735
Interest,ACC,163,,,,,,115,,,114,,,,83,,,,65,,,79,,,99,,,88,,,86,,,57,,,55,,,,77,,,155
Depreciation,ACC,915,,,,,,569,,,584,,,,568,,,,663,,,609,,,644,,,603,,,606,,,639,,,601,,,,841,,,883
Profit before tax,ACC,2620,,,,,,1441,,,1214,,,,1120,,,,766,,,885,,,1310,,,1510,,,2053,,,1709,,,2506,,,,1203,,,2759
Tax %,ACC,,,,,,,27%,,,11%,,,,-3%,,,,25%,,,26%,,,29%,,,-1%,,,33%,,,16%,,,26%,,,,26%,,,15%
Net Profit,ACC,2232,,,,,,1059,,,1095,,,,1162,,,,587,,,658,,,925,,,1521,,,1378,,,1430,,,1863,,,,885,,,2337
EPS in Rs,ACC,118.83,,,,,,56.42,,,58.31,,,,61.88,,,,31.30,,,35.06,,,49.23,,,80.97,,,73.35,,,76.16,,,99.21,,,,47.13,,,124.42
Dividend Payout %,ACC,,,,,,,53%,,,52%,,,,55%,,,,54%,,,49%,,,53%,,,17%,,,19%,,,18%,,,59%,,,,20%,,,6%
Sales,ADANIENT,102220,,,,,,,46375,,,54947,,,,64465,,,,34008,,,36533,,,35924,,,40379,,,43403,,,39537,,,69420,,,127540,,,96421
Expenses,ADANIENT,89663,,,,,,,40354,,,45564,,,,52015,,,,32325,,,34631,,,33886,,,38409,,,41108,,,37031,,,65707,,,118722,,,85044
Operating Profit,ADANIENT,12557,,,,,,,6021,,,9383,,,,12450,,,,1684,,,1902,,,2038,,,1969,,,2294,,,2506,,,3714,,,8818,,,11377
OPM %,ADANIENT,12%,,,,,,,13%,,,17%,,,,19%,,,,5%,,,5%,,,6%,,,5%,,,5%,,,6%,,,5%,,,7%,,,12%
Other Income,ADANIENT,1367,,,,,,,1775,,,1157,,,,792,,,,1044,,,749,,,363,,,504,,,872,,,494,,,1012,,,834,,,1146
Interest,ADANIENT,4583,,,,,,,3492,,,5703,,,,7056,,,,1357,,,1257,,,1250,,,1625,,,1572,,,1377,,,2526,,,3969,,,4555
Depreciation,ADANIENT,3262,,,,,,,2298,,,3223,,,,3522,,,,314,,,315,,,664,,,390,,,472,,,537,,,1248,,,2436,,,3042
Profit before tax,ADANIENT,6079,,,,,,,2005,,,1614,,,,2663,,,,1056,,,1079,,,487,,,459,,,1122,,,1086,,,952,,,3247,,,4926
Tax %,ADANIENT,,,,,,,,39%,,,-64%,,,,14%,,,,7%,,,25%,,,23%,,,32%,,,29%,,,31%,,,50%,,,32%,,,33%
Net Profit,ADANIENT,4431,,,,,,,1218,,,2646,,,,2298,,,,1000,,,925,,,594,,,506,,,1040,,,1046,,,788,,,2422,,,3335
EPS in Rs,ADANIENT,35.28,,,,,,,14.67,,,20.19,,,,17.71,,,,9.19,,,8.98,,,6.89,,,6.52,,,10.35,,,8.39,,,7.06,,,21.61,,,28.42
Dividend Payout %,ADANIENT,,,,,,,,10%,,,7%,,,,8%,,,,4%,,,4%,,,6%,,,6%,,,10%,,,12%,,,14%,,,6%,,,5%
Sales,AFFLE,1956,,,,,,,,,,,,,,,,,,,,,,,,167,,,249,,,334,,,517,,,1082,,,1434,,,1843
Expenses,AFFLE,1569,,,,,,,,,,,,,,,,,,,,,,,,122,,,179,,,246,,,387,,,869,,,1146,,,1483
Operating Profit,AFFLE,386,,,,,,,,,,,,,,,,,,,,,,,,46,,,70,,,88,,,130,,,213,,,288,,,360
OPM %,AFFLE,20%,,,,,,,,,,,,,,,,,,,,,,,,27%,,,28%,,,26%,,,25%,,,20%,,,20%,,,20%
Other Income,AFFLE,72,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,6,,,41,,,72,,,54,,,57
Interest,AFFLE,19,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,4,,,7,,,11,,,19
Depreciation,AFFLE,76,,,,,,,,,,,,,,,,,,,,,,,,8,,,10,,,13,,,20,,,32,,,49,,,72
Profit before tax,AFFLE,363,,,,,,,,,,,,,,,,,,,,,,,,37,,,60,,,79,,,148,,,245,,,282,,,327
Tax %,AFFLE,,,,,,,,,,,,,,,,,,,,,,,,,24%,,,18%,,,17%,,,9%,,,12%,,,13%,,,9%
Net Profit,AFFLE,318,,,,,,,,,,,,,,,,,,,,,,,,28,,,49,,,66,,,135,,,215,,,245,,,297
EPS in Rs,AFFLE,22.91,,,,,,,,,,,,,,,,,,,,,,,,2.29,,,4.02,,,5.14,,,10.57,,,16.05,,,18.36,,,21.20
Dividend Payout %,AFFLE,,,,,,,,,,,,,,,,,,,,,,,,,0%,,,0%,,,0%,,,0%,,,0%,,,0%,,,0%
Sales,ALKYLAMINE,1431,,,,,,,366,,,446,,,,476,,,,484,,,501,,,616,,,846,,,993,,,1242,,,1542,,,1683,,,1441
Expenses,ALKYLAMINE,1175,,,,,,,308,,,362,,,,390,,,,393,,,405,,,499,,,682,,,736,,,812,,,1216,,,1335,,,1189
Operating Profit,ALKYLAMINE,256,,,,,,,58,,,85,,,,87,,,,91,,,95,,,118,,,164,,,257,,,430,,,326,,,348,,,252
OPM %,ALKYLAMINE,18%,,,,,,,16%,,,19%,,,,18%,,,,19%,,,19%,,,19%,,,19%,,,26%,,,35%,,,21%,,,21%,,,17%
Other Income,ALKYLAMINE,14,,,,,,,1,,,2,,,,2,,,,2,,,1,,,2,,,4,,,40,,,6,,,14,,,9,,,14
Interest,ALKYLAMINE,4,,,,,,,13,,,12,,,,10,,,,8,,,8,,,8,,,15,,,10,,,6,,,3,,,3,,,4
Depreciation,ALKYLAMINE,64,,,,,,,10,,,10,,,,11,,,,13,,,14,,,16,,,23,,,27,,,29,,,35,,,45,,,59
Profit before tax,ALKYLAMINE,202,,,,,,,36,,,65,,,,67,,,,72,,,74,,,96,,,130,,,260,,,401,,,302,,,309,,,202
Tax %,ALKYLAMINE,,,,,,,,33%,,,34%,,,,32%,,,,31%,,,32%,,,33%,,,36%,,,17%,,,26%,,,26%,,,26%,,,26%
Net Profit,ALKYLAMINE,148,,,,,,,24,,,43,,,,45,,,,50,,,50,,,64,,,84,,,215,,,295,,,225,,,229,,,149
EPS in Rs,ALKYLAMINE,28.95,,,,,,,4.69,,,8.41,,,,8.91,,,,9.77,,,9.87,,,12.61,,,16.42,,,42.21,,,57.91,,,44.04,,,44.75,,,29.12
Dividend Payout %,ALKYLAMINE,,,,,,,,21%,,,19%,,,,18%,,,,41%,,,20%,,,22%,,,20%,,,19%,,,17%,,,23%,,,22%,,,34%
Sales,ANGELONE,4870,,,,,,,,,,,,,,450,,,,451,,,440,,,770,,,778,,,748,,,1289,,,2292,,,3002,,,4272
Expenses,ANGELONE,3028,,,,,,,,,,,,,,339,,,,362,,,437,,,516,,,575,,,570,,,828,,,1366,,,1708,,,2579
Operating Profit,ANGELONE,1842,,,,,,,,,,,,,,112,,,,90,,,3,,,254,,,203,,,178,,,460,,,926,,,1294,,,1693
OPM %,ANGELONE,38%,,,,,,,,,,,,,,25%,,,,20%,,,1%,,,33%,,,26%,,,24%,,,36%,,,40%,,,43%,,,40%
Other Income,ANGELONE,9,,,,,,,,,,,,,,11,,,,11,,,112,,,14,,,11,,,7,,,10,,,5,,,18,,,7
Interest,ANGELONE,173,,,,,,,,,,,,,,38,,,,36,,,54,,,95,,,70,,,50,,,42,,,76,,,91,,,137
Depreciation,ANGELONE,64,,,,,,,,,,,,,,10,,,,13,,,14,,,15,,,20,,,21,,,18,,,19,,,30,,,50
Profit before tax,ANGELONE,1614,,,,,,,,,,,,,,74,,,,52,,,48,,,159,,,124,,,114,,,410,,,836,,,1192,,,1514
Tax %,ANGELONE,,,,,,,,,,,,,,,37%,,,,39%,,,35%,,,32%,,,36%,,,28%,,,28%,,,25%,,,25%,,,26%
Net Profit,ANGELONE,1197,,,,,,,,,,,,,,47,,,,32,,,31,,,108,,,80,,,82,,,297,,,625,,,890,,,1126
EPS in Rs,ANGELONE,140.27,,,,,,,,,,,,,,32.69,,,,22.08,,,21.59,,,14.99,,,11.09,,,11.44,,,36.28,,,75.41,,,106.68,,,133.98
Dividend Payout %,ANGELONE,,,,,,,,,,,,,,,13%,,,,25%,,,31%,,,91%,,,24%,,,24%,,,35%,,,36%,,,37%,,,26%
Sales,ARE&M,12175,,,,,,,,,,,,,,,,,,,,,,,,,,,6793,,,6839,,,7150,,,8697,,,10392,,,11708
Expenses,ARE&M,10469,,,,,,,,,,,,,,,,,,,,,,,,,,,5838,,,5741,,,6033,,,7666,,,8945,,,10046
Operating Profit,ARE&M,1705,,,,,,,,,,,,,,,,,,,,,,,,,,,955,,,1099,,,1117,,,1031,,,1447,,,1662
OPM %,ARE&M,14%,,,,,,,,,,,,,,,,,,,,,,,,,,,14%,,,16%,,,16%,,,12%,,,14%,,,14%
Other Income,ARE&M,116,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,55,,,86,,,71,,,29,,,106
Interest,ARE&M,34,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,12,,,11,,,15,,,30,,,34
Depreciation,ARE&M,484,,,,,,,,,,,,,,,,,,,,,,,,,,,261,,,301,,,319,,,396,,,450,,,484
Profit before tax,ARE&M,1304,,,,,,,,,,,,,,,,,,,,,,,,,,,730,,,841,,,873,,,691,,,997,,,1250
Tax %,ARE&M,,,,,,,,,,,,,,,,,,,,,,,,,,,,34%,,,21%,,,26%,,,26%,,,27%,,,25%
Net Profit,ARE&M,973,,,,,,,,,,,,,,,,,,,,,,,,,,,483,,,661,,,647,,,513,,,731,,,934
EPS in Rs,ARE&M,55.09,,,,,,,,,,,,,,,,,,,,,,,,,,,28.29,,,38.69,,,37.87,,,30.01,,,42.79,,,51.05
Dividend Payout %,ARE&M,,,,,,,,,,,,,,,,,,,,,,,,,,,,25%,,,28%,,,29%,,,15%,,,14%,,,19%
Sales,ASAHIINDIA,4401,,,,,,,1944,,,2217,,,,2099,,,,2209,,,2345,,,2633,,,2913,,,2643,,,2421,,,3170,,,4019,,,4341
Expenses,ASAHIINDIA,3692,,,,,,,1777,,,1987,,,,1789,,,,1816,,,1930,,,2169,,,2403,,,2212,,,1987,,,2410,,,3224,,,3617
Operating Profit,ASAHIINDIA,709,,,,,,,167,,,229,,,,309,,,,393,,,415,,,464,,,510,,,431,,,435,,,761,,,795,,,724
OPM %,ASAHIINDIA,16%,,,,,,,9%,,,10%,,,,15%,,,,18%,,,18%,,,18%,,,18%,,,16%,,,18%,,,24%,,,20%,,,17%
Other Income,ASAHIINDIA,17,,,,,,,10,,,4,,,,13,,,,3,,,31,,,23,,,24,,,23,,,46,,,31,,,33,,,32
Interest,ASAHIINDIA,134,,,,,,,170,,,163,,,,160,,,,144,,,144,,,124,,,135,,,146,,,143,,,121,,,105,,,136
Depreciation,ASAHIINDIA,183,,,,,,,154,,,143,,,,112,,,,110,,,79,,,95,,,119,,,137,,,132,,,160,,,160,,,177
Profit before tax,ASAHIINDIA,409,,,,,,,-147,,,-72,,,,51,,,,142,,,223,,,269,,,280,,,171,,,205,,,511,,,563,,,443
Tax %,ASAHIINDIA,,,,,,,,-33%,,,-31%,,,,26%,,,,42%,,,33%,,,35%,,,33%,,,11%,,,36%,,,33%,,,36%,,,27%
Net Profit,ASAHIINDIA,299,,,,,,,-99,,,-48,,,,40,,,,85,,,150,,,176,,,188,,,151,,,131,,,343,,,362,,,325
EPS in Rs,ASAHIINDIA,12.43,,,,,,,-4.01,,,-1.92,,,,1.73,,,,3.58,,,6.15,,,7.30,,,7.82,,,6.32,,,5.47,,,14.18,,,15.01,,,13.49
Dividend Payout %,ASAHIINDIA,,,,,,,,0%,,,0%,,,,0%,,,,17%,,,16%,,,21%,,,13%,,,16%,,,18%,,,14%,,,13%,,,15%
Sales,ASHOKLEY,46824,,,,,,,,,,11859,,,,15708,,,,21260,,,22871,,,29636,,,33197,,,21951,,,19454,,,26237,,,41673,,,45791
Expenses,ASHOKLEY,38521,,,,,,,,,,11437,,,,14191,,,,18281,,,19826,,,25387,,,28287,,,18718,,,16992,,,23472,,,36580,,,37848
Operating Profit,ASHOKLEY,8303,,,,,,,,,,422,,,,1517,,,,2979,,,3045,,,4248,,,4910,,,3233,,,2462,,,2765,,,5093,,,7943
OPM %,ASHOKLEY,18%,,,,,,,,,,4%,,,,10%,,,,14%,,,13%,,,14%,,,15%,,,15%,,,13%,,,11%,,,12%,,,17%
