Ratios,Stockname,Mar 2010,Sep 2010,Mar 2011,Sep 2011,Mar 2012,Dec 2012,Mar 2013,Jun 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Sep 2016,Dec 2016,Mar 2017,Sep 2017,Dec 2017,Mar 2018,Sep 2018,Dec 2018,Mar 2019,Sep 2019,Dec 2019,Mar 2020,Sep 2020,Dec 2020,Mar 2021,Sep 2021,Dec 2021,Mar 2022,Sep 2022,Dec 2022,Mar 2023,Sep 2023,Dec 2023,Mar 2024
Cash Conversion Cycle,AARTISURF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,,38,,,38,,,55,,,69
Working Capital Days,AARTISURF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,,,59,,,51,,,66,,,70
ROCE %,AARTISURF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13%,,,7%,,,11%,,,15%
Debtor Days,ABB,,,,,,158,,,153,,,,149,,,,152,,,125,,,166,,,92,,,97,,,106,,,99,,,89,,,89,
Inventory Days,ABB,,,,,,68,,,73,,,,67,,,,71,,,67,,,111,,,79,,,68,,,83,,,83,,,98,,,90,
Days Payable,ABB,,,,,,140,,,154,,,,146,,,,159,,,154,,,261,,,160,,,150,,,169,,,185,,,182,,,179,
Cash Conversion Cycle,ABB,,,,,,85,,,72,,,,71,,,,64,,,38,,,15,,,11,,,15,,,20,,,-2,,,5,,,-0,
Working Capital Days,ABB,,,,,,59,,,55,,,,53,,,,56,,,37,,,-4,,,-97,,,13,,,-3,,,-4,,,-3,,,-9,
ROCE %,ABB,,,,,,10%,,,13%,,,,15%,,,,17%,,,17%,,,15%,,,17%,,,14%,,,7%,,,16%,,,23%,,,31%,
Debtor Days,ACC,,,,,,10,,,13,,,,13,,,,15,,,18,,,18,,,21,,,15,,,12,,,10,,,,14,,,15
Inventory Days,ACC,,,,,,239,,,231,,,,233,,,,235,,,278,,,261,,,263,,,153,,,131,,,162,,,,109,,,117
Days Payable,ACC,,,,,,139,,,132,,,,139,,,,173,,,286,,,337,,,301,,,198,,,207,,,243,,,,110,,,121
Cash Conversion Cycle,ACC,,,,,,110,,,112,,,,106,,,,77,,,10,,,-58,,,-17,,,-30,,,-64,,,-70,,,,13,,,12
Working Capital Days,ACC,,,,,,-55,,,-59,,,,-54,,,,-53,,,-64,,,-51,,,-28,,,-42,,,-62,,,-71,,,,37,,,21
ROCE %,ACC,,,,,,24%,,,17%,,,,15%,,,,12%,,,11%,,,16%,,,16%,,,19%,,,16%,,,19%,,,,9%,,,17%
Debtor Days,ADANIENT,,,,,,,71,,,67,,,,87,,,,109,,,127,,,123,,,129,,,111,,,111,,,72,,,36,,,37
Inventory Days,ADANIENT,,,,,,,40,,,38,,,,35,,,,17,,,19,,,28,,,29,,,27,,,21,,,46,,,27,,,69
Days Payable,ADANIENT,,,,,,,66,,,86,,,,89,,,,69,,,101,,,104,,,133,,,126,,,142,,,120,,,111,,,179
Cash Conversion Cycle,ADANIENT,,,,,,,45,,,19,,,,33,,,,57,,,46,,,47,,,26,,,11,,,-10,,,-2,,,-49,,,-73
Working Capital Days,ADANIENT,,,,,,,-2,,,11,,,,28,,,,116,,,88,,,120,,,53,,,47,,,29,,,18,,,-18,,,-32
ROCE %,ADANIENT,,,,,,,5%,,,7%,,,,9%,,,,3%,,,7%,,,6%,,,7%,,,9%,,,8%,,,7%,,,9%,,,10%
Debtor Days,AFFLE,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,70,,,81,,,76,,,79,,,62,,,63
Inventory Days,AFFLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days Payable,AFFLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Conversion Cycle,AFFLE,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,70,,,81,,,76,,,79,,,62,,,63
Working Capital Days,AFFLE,,,,,,,,,,,,,,,,,,,,,,,,-35.0,,,-9,,,15,,,16,,,-10,,,42,,,40
ROCE %,AFFLE,,,,,,,,,,,,,,,,,,,,,,,,,,,108%,,,43%,,,39%,,,28%,,,20%,,,16%
Debtor Days,ALKYLAMINE,,,,,,,76,,,73,,,,76,,,,68,,,71,,,73,,,66,,,60,,,67,,,66,,,56,,,56
Inventory Days,ALKYLAMINE,,,,,,,141,,,133,,,,105,,,,92,,,165,,,99,,,88,,,67,,,91,,,76,,,82,,,85
Days Payable,ALKYLAMINE,,,,,,,73,,,79,,,,58,,,,63,,,120,,,78,,,104,,,57,,,133,,,105,,,84,,,85
Cash Conversion Cycle,ALKYLAMINE,,,,,,,143,,,128,,,,123,,,,96,,,116,,,94,,,51,,,71,,,25,,,36,,,53,,,56
Working Capital Days,ALKYLAMINE,,,,,,,105,,,96,,,,93,,,,87,,,84,,,76,,,56,,,54,,,34,,,40,,,46,,,47
ROCE %,ALKYLAMINE,,,,,,,21%,,,28%,,,,26%,,,,26%,,,24%,,,25%,,,29%,,,41%,,,56%,,,33%,,,28%,,,16%
Debtor Days,ANGELONE,,,,,,,,,,,,,,218.0,,,,361,,,712,,,75,,,101,,,19,,,64,,,90,,,45,,,42
Inventory Days,ANGELONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days Payable,ANGELONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Conversion Cycle,ANGELONE,,,,,,,,,,,,,,218.0,,,,361,,,712,,,75,,,101,,,19,,,64,,,90,,,45,,,42
Working Capital Days,ANGELONE,,,,,,,,,,,,,,122.0,,,,119,,,289,,,244,,,127,,,-380,,,-235,,,-569,,,-474,,,-525
ROCE %,ANGELONE,,,,,,,,,,,,,,,,,,12%,,,11%,,,18%,,,13%,,,14%,,,27%,,,35%,,,44%,,,39%
Debtor Days,ARE&M,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,,,34,,,40,,,33,,,31,,,35
Inventory Days,ARE&M,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,,,94,,,111,,,108,,,90,,,90
Days Payable,ARE&M,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,50,,,57,,,48,,,40,,,40
Cash Conversion Cycle,ARE&M,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,77,,,93,,,93,,,82,,,86
Working Capital Days,ARE&M,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,,,49,,,55,,,52,,,62,,,54
ROCE %,ARE&M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23%,,,22%,,,16%,,,20%,,,19%
Debtor Days,ASAHIINDIA,,,,,,,57,,,55,,,,46,,,,44,,,38,,,45,,,34,,,36,,,40,,,28,,,31,,,30
Inventory Days,ASAHIINDIA,,,,,,,270,,,255,,,,250,,,,236,,,252,,,240,,,273,,,310,,,284,,,285,,,271,,,221
Days Payable,ASAHIINDIA,,,,,,,290,,,253,,,,139,,,,132,,,161,,,230,,,252,,,248,,,277,,,246,,,225,,,190
Cash Conversion Cycle,ASAHIINDIA,,,,,,,38,,,56,,,,158,,,,148,,,129,,,56,,,55,,,98,,,47,,,67,,,77,,,61
Working Capital Days,ASAHIINDIA,,,,,,,4,,,-10,,,,36,,,,35,,,44,,,33,,,9,,,4,,,49,,,46,,,56,,,40
ROCE %,ASAHIINDIA,,,,,,,1%,,,6%,,,,12%,,,,17%,,,19%,,,17%,,,16%,,,11%,,,11%,,,21%,,,21%,,,15%
Debtor Days,ASHOKLEY,,,,,,,,,,43.0,,,,31,,,,25,,,20,,,14,,,30,,,25,,,57,,,45,,,37,,,31
Inventory Days,ASHOKLEY,,,,,,,,,,69.0,,,,58,,,,50,,,73,,,42,,,52,,,42,,,76,,,53,,,44,,,50
Days Payable,ASHOKLEY,,,,,,,,,,116.0,,,,108,,,,71,,,85,,,96,,,88,,,90,,,162,,,150,,,96,,,85
Cash Conversion Cycle,ASHOKLEY,,,,,,,,,,-5.0,,,,-19,,,,5,,,8,,,-39,,,-6,,,-22,,,-30,,,-52,,,-16,,,-4
Working Capital Days,ASHOKLEY,,,,,,,,,,-6.0,,,,-22,,,,-5,,,-5,,,-31,,,10,,,16,,,113,,,68,,,66,,,66
ROCE %,ASHOKLEY,,,,,,,,,,,,,,8%,,,,17%,,,15%,,,17%,,,16%,,,9%,,,5%,,,6%,,,11%,,,15%
Debtor Days,ASIANPAINT,,,,,,,34,,,33,,,,32,,,,30,,,35,,,38,,,36,,,32,,,44,,,49,,,49,,,50
Inventory Days,ASIANPAINT,,,,,,,122,,,121,,,,123,,,,108,,,138,,,117,,,119,,,127,,,134,,,142,,,121,,,122
Days Payable,ASIANPAINT,,,,,,,96,,,102,,,,84,,,,84,,,101,,,95,,,90,,,80,,,119,,,96,,,71,,,79
Cash Conversion Cycle,ASIANPAINT,,,,,,,60,,,52,,,,70,,,,54,,,72,,,60,,,65,,,79,,,59,,,94,,,99,,,93
Working Capital Days,ASIANPAINT,,,,,,,13,,,11,,,,20,,,,21,,,35,,,32,,,30,,,43,,,46,,,69,,,66,,,62
ROCE %,ASIANPAINT,,,,,,,47%,,,45%,,,,42%,,,,42%,,,38%,,,36%,,,33%,,,33%,,,34%,,,29%,,,34%,,,38%
Debtor Days,ASTRAL,,,,,,,48,,,50,,,,60,,,,49,,,65,,,54,,,49,,,32,,,32,,,22,,,25,,,24
Inventory Days,ASTRAL,,,,,,,95,,,92,,,,92,,,,84,,,76,,,94,,,88,,,124,,,88,,,91,,,96,,,100
Days Payable,ASTRAL,,,,,,,107,,,87,,,,93,,,,96,,,80,,,92,,,86,,,109,,,96,,,93,,,88,,,95
Cash Conversion Cycle,ASTRAL,,,,,,,36,,,55,,,,60,,,,38,,,61,,,56,,,51,,,47,,,23,,,20,,,33,,,29
Working Capital Days,ASTRAL,,,,,,,31,,,56,,,,64,,,,30,,,47,,,38,,,32,,,42,,,18,,,18,,,20,,,21
ROCE %,ASTRAL,,,,,,,32%,,,34%,,,,21%,,,,18%,,,22%,,,23%,,,23%,,,21%,,,29%,,,29%,,,24%,,,23%
ROE %,AXISBANK,,,,,,,19%,,,18%,,,,18%,,,,17%,,,7%,,,1%,,,8%,,,2%,,,8%,,,13%,,,9%,,,18%
Debtor Days,BAJAJ-AUTO,,,,,,,13,,,14,,,,12,,,,12,,,16,,,22,,,31,,,21,,,36,,,17,,,18,,,17
Inventory Days,BAJAJ-AUTO,,,,,,,16,,,17,,,,20,,,,17,,,18,,,16,,,16,,,18,,,28,,,18,,,22,,,19
Days Payable,BAJAJ-AUTO,,,,,,,50,,,56,,,,43,,,,49,,,56,,,68,,,63,,,56,,,85,,,54,,,58,,,64
Cash Conversion Cycle,BAJAJ-AUTO,,,,,,,-20,,,-24,,,,-11,,,,-20,,,-22,,,-31,,,-17,,,-16,,,-22,,,-19,,,-18,,,-28
Working Capital Days,BAJAJ-AUTO,,,,,,,-23,,,-34,,,,-22,,,,-4,,,-2,,,-21,,,-4,,,-9,,,-0,,,-3,,,-9,,,-21
ROCE %,BAJAJ-AUTO,,,,,,,59%,,,50%,,,,40%,,,,45%,,,35%,,,31%,,,30%,,,30%,,,25%,,,23%,,,27%,,,34%
Debtor Days,BAJAJELEC,,,,,,,,,,,,,,,,,,112.0,,,115,,,136,,,144,,,150,,,120,,,86,,,83,,,92
Inventory Days,BAJAJELEC,,,,,,,,,,,,,,,,,,60.0,,,76,,,68,,,64,,,77,,,120,,,111,,,106,,,85
Days Payable,BAJAJELEC,,,,,,,,,,,,,,,,,,66.0,,,84,,,100,,,85,,,100,,,117,,,137,,,195,,,206
Cash Conversion Cycle,BAJAJELEC,,,,,,,,,,,,,,,,,,106.0,,,107,,,104,,,123,,,127,,,124,,,60,,,-6,,,-30
Working Capital Days,BAJAJELEC,,,,,,,,,,,,,,,,,,60.0,,,41,,,71,,,84,,,67,,,66,,,27,,,42,,,15
ROCE %,BAJAJELEC,,,,,,,,,,,,,,,,,,,,,15%,,,19%,,,17%,,,7%,,,12%,,,12%,,,18%,,,13%
Debtor Days,BAJAJFINSV,,,,,,,16,,,22,,,,17,,,,12,,,19,,,19,,,19,,,18,,,17,,,16,,,15,,,20
Inventory Days,BAJAJFINSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days Payable,BAJAJFINSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Conversion Cycle,BAJAJFINSV,,,,,,,16,,,22,,,,17,,,,12,,,19,,,19,,,19,,,18,,,17,,,16,,,15,,,20
Working Capital Days,BAJAJFINSV,,,,,,,-1204,,,-1338,,,,-603,,,,-243,,,-169,,,-675,,,-537,,,-417,,,-490,,,-493,,,-444,,,-400
ROCE %,BAJAJFINSV,,,,,,,19%,,,16%,,,,15%,,,,14%,,,14%,,,13%,,,13%,,,11%,,,10%,,,10%,,,11%,,,12%
ROE %,BAJFINANCE,,,,,,,,,,,,,,,,,,21%,,,22%,,,20%,,,22%,,,20%,,,13%,,,17%,,,23%,,,22%
Debtor Days,BALAMINES,,,,,,,74,,,79,,,,71,,,,71,,,68,,,73,,,65,,,81,,,85,,,93,,,59,,,71
Inventory Days,BALAMINES,,,,,,,66,,,87,,,,114,,,,80,,,106,,,70,,,116,,,77,,,64,,,66,,,89,,,116
Days Payable,BALAMINES,,,,,,,42,,,83,,,,48,,,,58,,,55,,,56,,,60,,,42,,,44,,,54,,,18,,,31
Cash Conversion Cycle,BALAMINES,,,,,,,99,,,83,,,,136,,,,93,,,119,,,87,,,120,,,116,,,104,,,105,,,129,,,156
Working Capital Days,BALAMINES,,,,,,,75,,,67,,,,95,,,,70,,,78,,,74,,,89,,,102,,,91,,,94,,,94,,,116
ROCE %,BALAMINES,,,,,,,19%,,,18%,,,,18%,,,,23%,,,30%,,,32%,,,24%,,,18%,,,35%,,,49%,,,36%,,,17%
Debtor Days,BATAINDIA,,,,,,9,,,9,,,,,8,,,,11,,,10,,,12,,,8,,,8,,,17,,,11,,,9,,,8
Inventory Days,BATAINDIA,,,,,,194,,,224,,,,,208,,,,217,,,225,,,232,,,238,,,246,,,265,,,292,,,218,,,227
Days Payable,BATAINDIA,,,,,,92,,,110,,,,,105,,,,104,,,129,,,146,,,146,,,142,,,192,,,153,,,99,,,73
Cash Conversion Cycle,BATAINDIA,,,,,,111,,,123,,,,,111,,,,124,,,106,,,99,,,100,,,112,,,90,,,150,,,128,,,162
Working Capital Days,BATAINDIA,,,,,,32,,,36,,,,,39,,,,61,,,51,,,56,,,46,,,54,,,47,,,64,,,52,,,72
ROCE %,BATAINDIA,,,,,,42%,,,40%,,,,,34%,,,,22%,,,22%,,,25%,,,31%,,,25%,,,-0%,,,8%,,,20%,,,19%
Debtor Days,BEL,,,,,,,196,,,233,,,,196,,,,185,,,184,,,176,,,161,,,189,,,170,,,145,,,145,,,133
Inventory Days,BEL,,,,,,,306,,,325,,,,321,,,,401,,,407,,,305,,,275,,,204,,,233,,,230,,,240,,,257
Days Payable,BEL,,,,,,,110,,,120,,,,111,,,,112,,,108,,,91,,,89,,,126,,,155,,,139,,,124,,,128
Cash Conversion Cycle,BEL,,,,,,,391,,,438,,,,406,,,,473,,,483,,,390,,,347,,,267,,,248,,,237,,,261,,,262
Working Capital Days,BEL,,,,,,,16,,,89,,,,53,,,,10,,,63,,,126,,,134,,,119,,,47,,,4,,,28,,,18
ROCE %,BEL,,,,,,,18%,,,18%,,,,20%,,,,20%,,,23%,,,25%,,,30%,,,26%,,,28%,,,27%,,,30%,,,35%
Debtor Days,BERGEPAINT,,,,,,,47,,,48,,,,47,,,,47,,,46,,,49,,,40,,,41,,,55,,,44,,,43,,,42
Inventory Days,BERGEPAINT,,,,,,,127,,,122,,,,104,,,,108,,,153,,,140,,,138,,,142,,,174,,,178,,,142,,,134
Days Payable,BERGEPAINT,,,,,,,80,,,95,,,,81,,,,99,,,124,,,133,,,112,,,118,,,161,,,139,,,108,,,103
Cash Conversion Cycle,BERGEPAINT,,,,,,,93,,,74,,,,70,,,,56,,,75,,,56,,,67,,,65,,,67,,,83,,,77,,,73
Working Capital Days,BERGEPAINT,,,,,,,57,,,39,,,,48,,,,35,,,44,,,49,,,48,,,47,,,58,,,64,,,60,,,56
ROCE %,BERGEPAINT,,,,,,,25%,,,24%,,,,25%,,,,30%,,,31%,,,29%,,,27%,,,28%,,,27%,,,26%,,,24%,,,28%
Debtor Days,BHARTIARTL,,,,,,,32,,,27,,,,20,,,,21,,,18,,,26,,,19,,,19,,,13,,,13,,,10,,,12
Inventory Days,BHARTIARTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days Payable,BHARTIARTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Conversion Cycle,BHARTIARTL,,,,,,,32,,,27,,,,20,,,,21,,,18,,,26,,,19,,,19,,,13,,,13,,,10,,,12
Working Capital Days,BHARTIARTL,,,,,,,-98,,,-105,,,,-172,,,,-139,,,-150,,,-200,,,-189,,,-257,,,-172,,,-154,,,-155,,,-161
ROCE %,BHARTIARTL,,,,,,,7%,,,10%,,,,11%,,,,13%,,,10%,,,7%,,,3%,,,5%,,,7%,,,11%,,,12%,,,13%
Debtor Days,BOROLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,,,51,,,42,,,33,,,33,,,35
Inventory Days,BOROLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,647.0,,,302,,,221,,,229,,,214,,,243
Days Payable,BOROLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,159.0,,,73,,,77,,,68,,,55,,,85
Cash Conversion Cycle,BOROLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,580.0,,,280,,,186,,,194,,,192,,,193
Working Capital Days,BOROLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0,,,118,,,66,,,98,,,73,,,49
ROCE %,BOROLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8%,,,8%,,,18%,,,11%,,,11%
Debtor Days,BRITANNIA,,,,,,,7,,,6,,,,6,,,,7,,,7,,,11,,,13,,,10,,,7,,,9,,,7,,,9
Inventory Days,BRITANNIA,,,,,,,35,,,37,,,,31,,,,32,,,43,,,39,,,43,,,39,,,52,,,57,,,45,,,45
Days Payable,BRITANNIA,,,,,,,37,,,49,,,,55,,,,56,,,49,,,59,,,63,,,55,,,63,,,55,,,55,,,63
Cash Conversion Cycle,BRITANNIA,,,,,,,5,,,-6,,,,-17,,,,-16,,,1,,,-9,,,-7,,,-6,,,-3,,,10,,,-2,,,-9
Working Capital Days,BRITANNIA,,,,,,,-15,,,-19,,,,-17,,,,-1,,,32,,,20,,,29,,,22,,,15,,,15,,,1,,,-5
ROCE %,BRITANNIA,,,,,,,39%,,,59%,,,,66%,,,,68%,,,52%,,,47%,,,44%,,,37%,,,45%,,,41%,,,49%,,,49%
Debtor Days,BSE,,,,,,,25,,,26,,,,23,,,,27,,,44,,,30,,,27,,,42,,,51,,,28,,,36,,,48
Inventory Days,BSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days Payable,BSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Conversion Cycle,BSE,,,,,,,25,,,26,,,,23,,,,27,,,44,,,30,,,27,,,42,,,51,,,28,,,36,,,48
Working Capital Days,BSE,,,,,,,-675,,,-1002,,,,-772,,,,-660,,,-1181,,,-791,,,-605,,,-894,,,-792,,,-1148,,,-846,,,-1090
ROCE %,BSE,,,,,,,10%,,,10%,,,,10%,,,,10%,,,10%,,,25%,,,8%,,,5%,,,8%,,,15%,,,12%,,,20%
Debtor Days,CAMS,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,14,,,17,,,15,,,10,,,12,,,21
Inventory Days,CAMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days Payable,CAMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Conversion Cycle,CAMS,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,14,,,17,,,15,,,10,,,12,,,21
Working Capital Days,CAMS,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,-0,,,7,,,-28,,,-2,,,37,,,31
ROCE %,CAMS,,,,,,,,,,,,,,,,,,,,,,,,,,,38%,,,44%,,,42%,,,56%,,,46%,,,48%
Debtor Days,CAMPUS,,,,,,,,,,,,,,,,,,,,,27766.0,,,137,,,99,,,72,,,50,,,41,,,,,,
Inventory Days,CAMPUS,,,,,,,,,,,,,,,,,,,,,18058.0,,,113,,,135,,,166,,,202,,,219,,,,,,
Days Payable,CAMPUS,,,,,,,,,,,,,,,,,,,,,31435.0,,,118,,,92,,,118,,,167,,,120,,,,,,
Cash Conversion Cycle,CAMPUS,,,,,,,,,,,,,,,,,,,,,14390.0,,,131,,,143,,,120,,,86,,,139,,,,,,
Working Capital Days,CAMPUS,,,,,,,,,,,,,,,,,,,,,12436.0,,,129,,,127,,,111,,,101,,,113,,,,,,
ROCE %,CAMPUS,,,,,,,,,,,,,,,,,,,,,,,,10%,,,20%,,,24%,,,17%,,,32%,,,,,,
Debtor Days,CDSL,,,,,,,34,,,25,,,,24,,,,39,,,33,,,37,,,36,,,44,,,40,,,30,,,25,,,30
Inventory Days,CDSL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days Payable,CDSL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Conversion Cycle,CDSL,,,,,,,34,,,25,,,,24,,,,39,,,33,,,37,,,36,,,44,,,40,,,30,,,25,,,30
Working Capital Days,CDSL,,,,,,,-160,,,-223,,,,-253,,,,-100,,,-79,,,-92,,,-79,,,-90,,,-109,,,-75,,,-44,,,-22
ROCE %,CDSL,,,,,,,15%,,,12%,,,,14%,,,,22%,,,22%,,,24%,,,22%,,,18%,,,31%,,,40%,,,30%,,,40%
