Cash Flows,Stockname,Mar 2010,Sep 2010,Mar 2011,Sep 2011,Mar 2012,Dec 2012,Mar 2013,Jun 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Sep 2016,Dec 2016,Mar 2017,Sep 2017,Dec 2017,Mar 2018,Sep 2018,Dec 2018,Mar 2019,Sep 2019,Dec 2019,Mar 2020,Sep 2020,Dec 2020,Mar 2021,Sep 2021,Dec 2021,Mar 2022,Sep 2022,Dec 2022,Mar 2023,Sep 2023,Dec 2023,Mar 2024
Cash from Investing Activity,ACC,,,,,,-308.0,,,-862.0,,,,-1457.0,,,,-904.0,,,-533.0,,,-379.0,,,-364.0,,,-321.0,,,-535.0,,,-988.0,,,,-4637.0,,,-1205.0
Cash from Financing Activity,ACC,,,,,,-1066.0,,,-834.0,,,,-837.0,,,,-716.0,,,-430.0,,,-426.0,,,-380.0,,,-374.0,,,-327.0,,,-331.0,,,,-1238.0,,,-443.0
Net Cash Flow,ACC,,,,,,203.0,,,-633.0,,,,-942.0,,,,-164.0,,,426.0,,,750.0,,,374.0,,,1559.0,,,1357.0,,,1517.0,,,,-7110.0,,,1347.0
Cash from Operating Activity,ADANIENT,,,,,,,7666.0,,,8228.0,,,,8532.0,,,,5112.0,,,774.0,,,2942.0,,,3236.0,,,2454.0,,,4043.0,,,1385.0,,,17626.0,,,10312.0
Cash from Investing Activity,ADANIENT,,,,,,,-14790.0,,,-8007.0,,,,-11465.0,,,,-1825.0,,,-1460.0,,,-7649.0,,,2487.0,,,-1082.0,,,-8611.0,,,-17041.0,,,-15459.0,,,-18767.0
Cash from Financing Activity,ADANIENT,,,,,,,7199.0,,,-1109.0,,,,3445.0,,,,-3448.0,,,716.0,,,5120.0,,,-6158.0,,,-221.0,,,3109.0,,,15901.0,,,-1198.0,,,8879.0
Net Cash Flow,ADANIENT,,,,,,,75.0,,,-888.0,,,,512.0,,,,-161.0,,,30.0,,,413.0,,,-436.0,,,1151.0,,,-1459.0,,,246.0,,,970.0,,,424.0
Cash from Operating Activity,AFFLE,,,,,,,,,,,,,,,,,,,,,,,,42.0,,,48.0,,,72.0,,,102.0,,,206.0,,,260.0,,,262.0
Cash from Investing Activity,AFFLE,,,,,,,,,,,,,,,,,,,,,,,,-29.0,,,-50.0,,,-162.0,,,-175.0,,,-554.0,,,-186.0,,,-577.0
Cash from Financing Activity,AFFLE,,,,,,,,,,,,,,,,,,,,,,,,-4.0,,,8.0,,,139.0,,,53.0,,,615.0,,,-59.0,,,783.0
Net Cash Flow,AFFLE,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,6.0,,,49.0,,,-20.0,,,267.0,,,16.0,,,468.0
Cash from Operating Activity,ALKYLAMINE,,,,,,,22.0,,,46.0,,,,61.0,,,,101.0,,,63.0,,,102.0,,,144.0,,,188.0,,,364.0,,,205.0,,,248.0,,,275.0
Cash from Investing Activity,ALKYLAMINE,,,,,,,-27.0,,,-26.0,,,,-31.0,,,,-35.0,,,-65.0,,,-132.0,,,-67.0,,,-41.0,,,-213.0,,,-206.0,,,-277.0,,,-121.0
Cash from Financing Activity,ALKYLAMINE,,,,,,,5.0,,,-13.0,,,,-36.0,,,,-68.0,,,-2.0,,,32.0,,,-60.0,,,-135.0,,,-86.0,,,-57.0,,,8.0,,,-140.0
Net Cash Flow,ALKYLAMINE,,,,,,,0.0,,,7.0,,,,-6.0,,,,-2.0,,,-3.0,,,2.0,,,17.0,,,12.0,,,65.0,,,-58.0,,,-21.0,,,13.0
Cash from Operating Activity,ANGELONE,,,,,,,,,,,,,,11.0,,,,-77.0,,,-210.0,,,-309.0,,,689.0,,,643.0,,,-1199.0,,,558.0,,,804.0,,,-330.0
Cash from Investing Activity,ANGELONE,,,,,,,,,,,,,,-7.0,,,,-13.0,,,-50.0,,,47.0,,,-6.0,,,-28.0,,,25.0,,,-52.0,,,-185.0,,,-91.0
Cash from Financing Activity,ANGELONE,,,,,,,,,,,,,,2.0,,,,40.0,,,350.0,,,239.0,,,-361.0,,,-449.0,,,894.0,,,-165.0,,,-908.0,,,1331.0
Net Cash Flow,ANGELONE,,,,,,,,,,,,,,5.0,,,,-51.0,,,91.0,,,-23.0,,,323.0,,,166.0,,,-280.0,,,340.0,,,-289.0,,,910.0
Cash from Operating Activity,ARE&M,,,,,,,,,,,,,,,,,,,,,,,,,,,541.0,,,1177.0,,,802.0,,,633.0,,,945.0,,,1266.0
Cash from Investing Activity,ARE&M,,,,,,,,,,,,,,,,,,,,,,,,,,,-448.0,,,-830.0,,,-616.0,,,-482.0,,,-773.0,,,-1020.0
Cash from Financing Activity,ARE&M,,,,,,,,,,,,,,,,,,,,,,,,,,,-92.0,,,-364.0,,,-122.0,,,-213.0,,,-112.0,,,-242.0
Net Cash Flow,ARE&M,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,-18.0,,,64.0,,,-62.0,,,60.0,,,3.0
Cash from Operating Activity,ASAHIINDIA,,,,,,,111.0,,,10.0,,,,50.0,,,,230.0,,,418.0,,,449.0,,,424.0,,,293.0,,,516.0,,,586.0,,,402.0,,,653.0
Cash from Investing Activity,ASAHIINDIA,,,,,,,-83.0,,,-92.0,,,,-69.0,,,,-124.0,,,-190.0,,,-448.0,,,-512.0,,,-214.0,,,-84.0,,,-79.0,,,-320.0,,,-924.0
Cash from Financing Activity,ASAHIINDIA,,,,,,,17.0,,,47.0,,,,24.0,,,,-100.0,,,-249.0,,,-1.0,,,91.0,,,-93.0,,,-382.0,,,-479.0,,,-52.0,,,330.0
Net Cash Flow,ASAHIINDIA,,,,,,,45.0,,,-35.0,,,,4.0,,,,7.0,,,-21.0,,,1.0,,,3.0,,,-14.0,,,51.0,,,28.0,,,29.0,,,59.0
Cash from Operating Activity,ASHOKLEY,,,,,,,,,,-104.0,,,,95.0,,,,-1275.0,,,270.0,,,1462.0,,,-3745.0,,,383.0,,,-1065.0,,,2845.0,,,-4499.0,,,-6258.0
Cash from Investing Activity,ASHOKLEY,,,,,,,,,,-378.0,,,,-124.0,,,,456.0,,,-1676.0,,,-3163.0,,,1897.0,,,-1201.0,,,-973.0,,,-1917.0,,,-2904.0,,,1135.0
Cash from Financing Activity,ASHOKLEY,,,,,,,,,,461.0,,,,781.0,,,,1660.0,,,738.0,,,1905.0,,,2398.0,,,1239.0,,,1331.0,,,-378.0,,,7281.0,,,8432.0
Net Cash Flow,ASHOKLEY,,,,,,,,,,-20.0,,,,752.0,,,,841.0,,,-668.0,,,205.0,,,549.0,,,421.0,,,-707.0,,,550.0,,,-122.0,,,3309.0
Cash from Operating Activity,ASIANPAINT,,,,,,,1187.0,,,1402.0,,,,1188.0,,,,2243.0,,,1527.0,,,2113.0,,,2470.0,,,3038.0,,,3683.0,,,986.0,,,4193.0,,,6104.0
Cash from Investing Activity,ASIANPAINT,,,,,,,-463.0,,,-586.0,,,,-465.0,,,,-866.0,,,-681.0,,,-1556.0,,,-918.0,,,-518.0,,,-541.0,,,-317.0,,,-1282.0,,,-2548.0
Cash from Financing Activity,ASIANPAINT,,,,,,,-601.0,,,-626.0,,,,-576.0,,,,-849.0,,,-756.0,,,-1379.0,,,-1117.0,,,-2871.0,,,-650.0,,,-1808.0,,,-2140.0,,,-2982.0
Net Cash Flow,ASIANPAINT,,,,,,,123.0,,,190.0,,,,147.0,,,,528.0,,,90.0,,,-822.0,,,434.0,,,-351.0,,,2492.0,,,-1138.0,,,771.0,,,573.0
Cash from Operating Activity,ASTRAL,,,,,,,65.0,,,67.0,,,,117.0,,,,226.0,,,114.0,,,282.0,,,342.0,,,405.0,,,664.0,,,543.0,,,557.0,,,823.0
Cash from Investing Activity,ASTRAL,,,,,,,-67.0,,,-91.0,,,,-343.0,,,,-203.0,,,-158.0,,,-185.0,,,-291.0,,,-318.0,,,-454.0,,,72.0,,,-478.0,,,-541.0
Cash from Financing Activity,ASTRAL,,,,,,,-22.0,,,13.0,,,,237.0,,,,16.0,,,12.0,,,-71.0,,,-5.0,,,-163.0,,,-153.0,,,-44.0,,,-191.0,,,-202.0
Net Cash Flow,ASTRAL,,,,,,,-24.0,,,-11.0,,,,11.0,,,,38.0,,,-32.0,,,25.0,,,46.0,,,-75.0,,,57.0,,,571.0,,,-112.0,,,80.0
Cash from Operating Activity,AXISBANK,,,,,,,2573.0,,,14464.0,,,,-15162.0,,,,-34495.0,,,32209.0,,,-38390.0,,,37125.0,,,30416.0,,,12633.0,,,28137.0,,,22075.0,,,-5555.0
Cash from Investing Activity,AXISBANK,,,,,,,-10939.0,,,-14166.0,,,,-7972.0,,,,9211.0,,,-12458.0,,,-10007.0,,,-18674.0,,,-9485.0,,,-54288.0,,,-27112.0,,,-32351.0,,,-9001.0
Cash from Financing Activity,AXISBANK,,,,,,,14931.0,,,7785.0,,,,31045.0,,,,22495.0,,,-2487.0,,,41342.0,,,5643.0,,,8865.0,,,7279.0,,,47894.0,,,6641.0,,,22341.0
Net Cash Flow,AXISBANK,,,,,,,6566.0,,,8082.0,,,,7910.0,,,,-2789.0,,,17263.0,,,-7055.0,,,24094.0,,,29795.0,,,-34375.0,,,48919.0,,,-3636.0,,,7785.0
Cash from Operating Activity,BAJAJ-AUTO,,,,,,,2218.0,,,3502.0,,,,2114.0,,,,3690.0,,,3267.0,,,4328.0,,,2487.0,,,3850.0,,,3120.0,,,4197.0,,,5277.0,,,6558.0
Cash from Investing Activity,BAJAJ-AUTO,,,,,,,-1394.0,,,-2072.0,,,,-380.0,,,,-68.0,,,-3610.0,,,-1954.0,,,-273.0,,,1766.0,,,-2869.0,,,276.0,,,1211.0,,,-72.0
Cash from Financing Activity,BAJAJ-AUTO,,,,,,,-1445.0,,,-1496.0,,,,-1644.0,,,,-3384.0,,,-190.0,,,-1885.0,,,-2074.0,,,-6247.0,,,-20.0,,,-4056.0,,,-7181.0,,,-6167.0
Net Cash Flow,BAJAJ-AUTO,,,,,,,-621.0,,,-66.0,,,,90.0,,,,238.0,,,-532.0,,,488.0,,,140.0,,,-630.0,,,231.0,,,417.0,,,-692.0,,,319.0
Cash from Operating Activity,BAJAJELEC,,,,,,,,,,,,,,,,,,305.0,,,437.0,,,-103.0,,,-621.0,,,626.0,,,658.0,,,914.0,,,449.0,,,354.0
Cash from Investing Activity,BAJAJELEC,,,,,,,,,,,,,,,,,,-53.0,,,-90.0,,,36.0,,,-103.0,,,-41.0,,,-110.0,,,-70.0,,,-88.0,,,-449.0
Cash from Financing Activity,BAJAJELEC,,,,,,,,,,,,,,,,,,-239.0,,,-368.0,,,64.0,,,713.0,,,-495.0,,,-604.0,,,-771.0,,,-139.0,,,-133.0
Net Cash Flow,BAJAJELEC,,,,,,,,,,,,,,,,,,13.0,,,-22.0,,,-3.0,,,-11.0,,,90.0,,,-56.0,,,73.0,,,223.0,,,-227.0
Cash from Operating Activity,BAJAJFINSV,,,,,,,-6922.0,,,-9807.0,,,,-10731.0,,,,-9795.0,,,-10922.0,,,-19580.0,,,-27076.0,,,-23369.0,,,4547.0,,,-33670.0,,,-39480.0,,,-68674.0
Cash from Investing Activity,BAJAJFINSV,,,,,,,2953.0,,,3764.0,,,,3709.0,,,,-886.0,,,151.0,,,-922.0,,,-6903.0,,,-9948.0,,,-3684.0,,,1445.0,,,-13945.0,,,-10960.0
Cash from Financing Activity,BAJAJFINSV,,,,,,,4592.0,,,6521.0,,,,6839.0,,,,11602.0,,,12513.0,,,19590.0,,,34535.0,,,34479.0,,,1687.0,,,32326.0,,,51016.0,,,82709.0
Net Cash Flow,BAJAJFINSV,,,,,,,623.0,,,478.0,,,,-183.0,,,,921.0,,,1742.0,,,-911.0,,,555.0,,,1162.0,,,2551.0,,,101.0,,,-2409.0,,,3075.0
Cash from Operating Activity,BAJFINANCE,,,,,,,,,,,,,,-7064.0,,,,-9870.0,,,-10439.0,,,-20566.0,,,-29062.0,,,-24412.0,,,-807.0,,,-37090.0,,,-42112.0,,,-72760.0
Cash from Investing Activity,BAJFINANCE,,,,,,,,,,,,,,-360.0,,,,-687.0,,,-3047.0,,,1075.0,,,-5379.0,,,-8758.0,,,-429.0,,,6347.0,,,-10394.0,,,-7171.0
Cash from Financing Activity,BAJFINANCE,,,,,,,,,,,,,,6867.0,,,,11656.0,,,12513.0,,,19503.0,,,34449.0,,,34167.0,,,1741.0,,,32275.0,,,50675.0,,,82415.0
Net Cash Flow,BAJFINANCE,,,,,,,,,,,,,,-557.0,,,,1100.0,,,-972.0,,,13.0,,,9.0,,,998.0,,,505.0,,,1532.0,,,-1831.0,,,2484.0
Cash from Operating Activity,BALAMINES,,,,,,,94.0,,,111.0,,,,56.0,,,,85.0,,,60.0,,,140.0,,,94.0,,,144.0,,,110.0,,,220.0,,,354.0,,,224.0
Cash from Investing Activity,BALAMINES,,,,,,,-86.0,,,-50.0,,,,-4.0,,,,-29.0,,,-10.0,,,-135.0,,,-119.0,,,-130.0,,,-62.0,,,-147.0,,,-210.0,,,-164.0
Cash from Financing Activity,BALAMINES,,,,,,,-10.0,,,-53.0,,,,-55.0,,,,-54.0,,,-55.0,,,16.0,,,21.0,,,-26.0,,,-37.0,,,-57.0,,,-81.0,,,-75.0
Net Cash Flow,BALAMINES,,,,,,,-2.0,,,7.0,,,,-3.0,,,,2.0,,,-5.0,,,21.0,,,-4.0,,,-12.0,,,11.0,,,16.0,,,63.0,,,-15.0
Cash from Operating Activity,BATAINDIA,,,,,,184.0,,,182.0,,,,,119.0,,,,204.0,,,257.0,,,160.0,,,345.0,,,582.0,,,461.0,,,212.0,,,629.0,,,453.0
Cash from Investing Activity,BATAINDIA,,,,,,-128.0,,,-118.0,,,,,-66.0,,,,-114.0,,,-229.0,,,-112.0,,,-278.0,,,-189.0,,,-53.0,,,93.0,,,439.0,,,40.0
Cash from Financing Activity,BATAINDIA,,,,,,-46.0,,,-46.0,,,,,-50.0,,,,-52.0,,,-56.0,,,-56.0,,,-63.0,,,-436.0,,,-369.0,,,-341.0,,,-1011.0,,,-518.0
Net Cash Flow,BATAINDIA,,,,,,11.0,,,18.0,,,,,2.0,,,,37.0,,,-28.0,,,-7.0,,,4.0,,,-43.0,,,39.0,,,-37.0,,,57.0,,,-24.0
Cash from Operating Activity,BEL,,,,,,,-1539.0,,,-569.0,,,,1434.0,,,,2260.0,,,-61.0,,,-687.0,,,1514.0,,,2570.0,,,5093.0,,,4207.0,,,1199.0,,,4659.0
Cash from Investing Activity,BEL,,,,,,,1753.0,,,759.0,,,,-839.0,,,,-1470.0,,,3115.0,,,-6.0,,,-896.0,,,-649.0,,,-2595.0,,,-4872.0,,,2708.0,,,-5924.0
Cash from Financing Activity,BEL,,,,,,,-158.0,,,-213.0,,,,-209.0,,,,-318.0,,,-2857.0,,,-1202.0,,,-663.0,,,-1061.0,,,-1076.0,,,-1078.0,,,-1262.0,,,-1475.0
Net Cash Flow,BEL,,,,,,,56.0,,,-23.0,,,,386.0,,,,472.0,,,197.0,,,-1895.0,,,-45.0,,,861.0,,,1422.0,,,-1742.0,,,2645.0,,,-2739.0
Cash from Operating Activity,BERGEPAINT,,,,,,,120.0,,,310.0,,,,414.0,,,,595.0,,,394.0,,,422.0,,,611.0,,,725.0,,,796.0,,,566.0,,,976.0,,,1591.0
Cash from Investing Activity,BERGEPAINT,,,,,,,-203.0,,,-301.0,,,,-184.0,,,,-259.0,,,-308.0,,,-183.0,,,-379.0,,,-223.0,,,-457.0,,,-521.0,,,-600.0,,,-398.0
Cash from Financing Activity,BERGEPAINT,,,,,,,128.0,,,-52.0,,,,-198.0,,,,-368.0,,,-82.0,,,-200.0,,,-259.0,,,-479.0,,,-282.0,,,-78.0,,,-363.0,,,-1069.0
Net Cash Flow,BERGEPAINT,,,,,,,45.0,,,-43.0,,,,32.0,,,,-32.0,,,4.0,,,38.0,,,-27.0,,,22.0,,,57.0,,,-33.0,,,13.0,,,124.0
Cash from Operating Activity,BHARTIARTL,,,,,,,22608.0,,,26233.0,,,,28059.0,,,,27942.0,,,28280.0,,,29854.0,,,20070.0,,,18129.0,,,48205.0,,,55017.0,,,65325.0,,,78898.0
Cash from Investing Activity,BHARTIARTL,,,,,,,-18676.0,,,-25181.0,,,,-22301.0,,,,-14091.0,,,-30680.0,,,-27940.0,,,-28286.0,,,-29598.0,,,-27286.0,,,-41478.0,,,-39232.0,,,-51089.0
Cash from Financing Activity,BHARTIARTL,,,,,,,-4566.0,,,2774.0,,,,-9672.0,,,,-11946.0,,,-351.0,,,1920.0,,,9464.0,,,19144.0,,,-24910.0,,,-15203.0,,,-24470.0,,,-27778.0
Net Cash Flow,BHARTIARTL,,,,,,,-634.0,,,3826.0,,,,-3914.0,,,,1905.0,,,-2752.0,,,3835.0,,,1248.0,,,7675.0,,,-3991.0,,,-1664.0,,,1623.0,,,31.0
Cash from Operating Activity,BOROLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,53.0,,,186.0,,,77.0,,,64.0,,,48.0
Cash from Investing Activity,BOROLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.0,,,-33.0,,,-137.0,,,-37.0,,,-177.0,,,-106.0
Cash from Financing Activity,BOROLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.0,,,-27.0,,,-45.0,,,-24.0,,,99.0,,,55.0
Net Cash Flow,BOROLTD,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,-7.0,,,4.0,,,16.0,,,-14.0,,,-3.0
Cash from Operating Activity,BRITANNIA,,,,,,,320.0,,,671.0,,,,584.0,,,,959.0,,,441.0,,,1249.0,,,1156.0,,,1485.0,,,1876.0,,,1300.0,,,2526.0,,,2573.0
Cash from Investing Activity,BRITANNIA,,,,,,,28.0,,,-246.0,,,,-450.0,,,,-705.0,,,-150.0,,,-957.0,,,-852.0,,,-1526.0,,,433.0,,,914.0,,,-1507.0,,,477.0
Cash from Financing Activity,BRITANNIA,,,,,,,-378.0,,,-357.0,,,,-181.0,,,,-246.0,,,-295.0,,,-232.0,,,-353.0,,,58.0,,,-2242.0,,,-2246.0,,,-1028.0,,,-2830.0
Net Cash Flow,BRITANNIA,,,,,,,-30.0,,,68.0,,,,-47.0,,,,8.0,,,-4.0,,,60.0,,,-49.0,,,17.0,,,66.0,,,-32.0,,,-9.0,,,219.0
Cash from Operating Activity,BSE,,,,,,,-57.0,,,151.0,,,,-153.0,,,,-44.0,,,817.0,,,-239.0,,,-313.0,,,397.0,,,-68.0,,,1442.0,,,-137.0,,,2842.0
Cash from Investing Activity,BSE,,,,,,,127.0,,,-21.0,,,,371.0,,,,164.0,,,95.0,,,-236.0,,,347.0,,,470.0,,,-190.0,,,-980.0,,,-111.0,,,-1071.0
Cash from Financing Activity,BSE,,,,,,,-196.0,,,-303.0,,,,-45.0,,,,-120.0,,,-85.0,,,108.0,,,-352.0,,,-618.0,,,-55.0,,,9.0,,,-186.0,,,-149.0
Net Cash Flow,BSE,,,,,,,-126.0,,,-172.0,,,,173.0,,,,0.0,,,827.0,,,-366.0,,,-318.0,,,249.0,,,-312.0,,,471.0,,,-434.0,,,1622.0
Cash from Operating Activity,CAMS,,,,,,,,,,,,,,,,,,,,,,,,162.0,,,187.0,,,199.0,,,264.0,,,321.0,,,318.0,,,401.0
Cash from Investing Activity,CAMS,,,,,,,,,,,,,,,,,,,,,,,,-19.0,,,-31.0,,,-84.0,,,2.0,,,-131.0,,,-102.0,,,-188.0
Cash from Financing Activity,CAMS,,,,,,,,,,,,,,,,,,,,,,,,-138.0,,,-158.0,,,-97.0,,,-272.0,,,-204.0,,,-205.0,,,-224.0
Net Cash Flow,CAMS,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,-3.0,,,18.0,,,-6.0,,,-13.0,,,12.0,,,-10.0
Cash from Operating Activity,CAMPUS,,,,,,,,,,,,,,,,,,,,,100.0,,,-38.0,,,54.0,,,99.0,,,124.0,,,18.0,,,,,,
Cash from Investing Activity,CAMPUS,,,,,,,,,,,,,,,,,,,,,-291.0,,,-47.0,,,-29.0,,,-155.0,,,-9.0,,,-34.0,,,,,,
Cash from Financing Activity,CAMPUS,,,,,,,,,,,,,,,,,,,,,193.0,,,84.0,,,-26.0,,,69.0,,,-129.0,,,16.0,,,,,,
Net Cash Flow,CAMPUS,,,,,,,,,,,,,,,,,,,,,2.0,,,-1.0,,,0.0,,,14.0,,,-14.0,,,-1.0,,,,,,
Cash from Operating Activity,CDSL,,,,,,,24.0,,,35.0,,,,43.0,,,,28.0,,,43.0,,,79.0,,,86.0,,,82.0,,,193.0,,,283.0,,,249.0,,,386.0
Cash from Investing Activity,CDSL,,,,,,,-6.0,,,-13.0,,,,-19.0,,,,0.0,,,18.0,,,-67.0,,,-67.0,,,-33.0,,,-107.0,,,-146.0,,,-126.0,,,-249.0
Cash from Financing Activity,CDSL,,,,,,,-18.0,,,-23.0,,,,-23.0,,,,-28.0,,,-31.0,,,-38.0,,,-20.0,,,-51.0,,,-47.0,,,-94.0,,,-158.0,,,-169.0
