Balance Sheet,Stockname,Mar 2010,Sep 2010,Mar 2011,Sep 2011,Mar 2012,Dec 2012,Mar 2013,Jun 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Sep 2016,Dec 2016,Mar 2017,Sep 2017,Dec 2017,Mar 2018,Sep 2018,Dec 2018,Mar 2019,Sep 2019,Dec 2019,Mar 2020,Sep 2020,Dec 2020,Mar 2021,Sep 2021,Dec 2021,Mar 2022,Sep 2022,Dec 2022,Mar 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024
CWIP,544021,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,5.0,,,1.0,,,4.0,,,11.0,,,0.0,
Investments,544021,,,,,,,,,,,,,,,,,,,,,,,,,,,373.0,,,406.0,,,285.0,,,364.0,,,529.0,,,550.0,
Other Assets,544021,,,,,,,,,,,,,,,,,,,,,,,,,,,335.0,,,465.0,,,525.0,,,555.0,,,501.0,,,536.0,
Total Assets,544021,,,,,,,,,,,,,,,,,,,,,,,,,,,870.0,,,940.0,,,863.0,,,988.0,,,1104.0,,,1185.0,
Equity Capital,AARTIDRUGS,12.0,,12.0,,,,,,,,,,,24.0,,,,24.0,,,24.0,,,24.0,,,24.0,,,23.0,,,93.0,,,93.0,,,93.0,,,92.0,
Reserves,AARTIDRUGS,134.0,,151.0,,,,,,,,,,,284.0,,,,333.0,,,376.0,,,432.0,,,520.0,,,629.0,,,820.0,,,944.0,,,1100.0,,,1190.0,
Borrowings,AARTIDRUGS,189.0,,267.0,,,,,,,,,,,448.0,,,,483.0,,,480.0,,,546.0,,,507.0,,,389.0,,,351.0,,,543.0,,,609.0,,,564.0,
Other Liabilities,AARTIDRUGS,84.0,,93.0,,,,,,,,,,,248.0,,,,261.0,,,311.0,,,388.0,,,405.0,,,535.0,,,502.0,,,629.0,,,620.0,,,587.0,
Total Liabilities,AARTIDRUGS,419.0,,523.0,,,,,,,,,,,1004.0,,,,1102.0,,,1191.0,,,1389.0,,,1455.0,,,1576.0,,,1766.0,,,2208.0,,,2421.0,,,2432.0,
Fixed Assets,AARTIDRUGS,208.0,,248.0,,,,,,,,,,,448.0,,,,493.0,,,581.0,,,602.0,,,625.0,,,644.0,,,665.0,,,690.0,,,676.0,,,847.0,
CWIP,AARTIDRUGS,3.0,,10.0,,,,,,,,,,,16.0,,,,34.0,,,14.0,,,28.0,,,33.0,,,12.0,,,19.0,,,77.0,,,210.0,,,225.0,
Investments,AARTIDRUGS,2.0,,5.0,,,,,,,,,,,5.0,,,,5.0,,,12.0,,,11.0,,,12.0,,,13.0,,,17.0,,,19.0,,,19.0,,,20.0,
Other Assets,AARTIDRUGS,206.0,,260.0,,,,,,,,,,,534.0,,,,570.0,,,584.0,,,748.0,,,785.0,,,907.0,,,1064.0,,,1422.0,,,1516.0,,,1340.0,
Total Assets,AARTIDRUGS,419.0,,523.0,,,,,,,,,,,1004.0,,,,1102.0,,,1191.0,,,1389.0,,,1455.0,,,1576.0,,,1766.0,,,2208.0,,,2421.0,,,2432.0,
Equity Capital,AARTIIND,,,,,,,40.0,,,44.0,,,,44.0,,,,42.0,,,41.0,,,41.0,,,43.0,,,87.0,,,87.0,,,181.0,,,181.0,,,181.0,
Reserves,AARTIIND,,,,,,,717.0,,,826.0,,,,972.0,,,,1096.0,,,1321.0,,,1538.0,,,2587.0,,,2892.0,,,3416.0,,,4335.0,,,4739.0,,,5109.0,
Borrowings,AARTIIND,,,,,,,849.0,,,1039.0,,,,1202.0,,,,1292.0,,,1564.0,,,2083.0,,,2401.0,,,2098.0,,,2857.0,,,2587.0,,,2907.0,,,3242.0,
Other Liabilities,AARTIIND,,,,,,,571.0,,,760.0,,,,719.0,,,,538.0,,,573.0,,,730.0,,,826.0,,,1256.0,,,1282.0,,,748.0,,,754.0,,,1084.0,
Total Liabilities,AARTIIND,,,,,,,2176.0,,,2670.0,,,,2938.0,,,,2966.0,,,3499.0,,,4391.0,,,5858.0,,,6332.0,,,7642.0,,,7851.0,,,8581.0,,,9616.0,
Fixed Assets,AARTIIND,,,,,,,674.0,,,826.0,,,,967.0,,,,1246.0,,,1697.0,,,1998.0,,,2147.0,,,2468.0,,,3593.0,,,3595.0,,,4861.0,,,5649.0,
CWIP,AARTIIND,,,,,,,69.0,,,117.0,,,,193.0,,,,313.0,,,270.0,,,436.0,,,795.0,,,1418.0,,,1298.0,,,1346.0,,,1096.0,,,1229.0,
Investments,AARTIIND,,,,,,,95.0,,,117.0,,,,139.0,,,,41.0,,,47.0,,,47.0,,,33.0,,,37.0,,,64.0,,,28.0,,,17.0,,,23.0,
Other Assets,AARTIIND,,,,,,,1338.0,,,1609.0,,,,1639.0,,,,1366.0,,,1486.0,,,1910.0,,,2884.0,,,2409.0,,,2688.0,,,2882.0,,,2607.0,,,2714.0,
Total Assets,AARTIIND,,,,,,,2176.0,,,2670.0,,,,2938.0,,,,2966.0,,,3499.0,,,4391.0,,,5858.0,,,6332.0,,,7642.0,,,7851.0,,,8581.0,,,9616.0,
Equity Capital,AARTIPHARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,45.0,,,45.0,
Reserves,AARTIPHARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,1386.0,,,1513.0,,,1712.0,
Borrowings,AARTIPHARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,341.0,,,215.0,,,285.0,
Other Liabilities,AARTIPHARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,312.0,,,470.0,,,540.0,
Total Liabilities,AARTIPHARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2040.0,,,2244.0,,,2582.0,
Fixed Assets,AARTIPHARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,782.0,,,926.0,,,1033.0,
CWIP,AARTIPHARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,187.0,,,102.0,,,137.0,
Investments,AARTIPHARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,32.0,,,87.0,,,107.0,
Other Assets,AARTIPHARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,1038.0,,,1130.0,,,1305.0,
Total Assets,AARTIPHARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2040.0,,,2244.0,,,2582.0,
Equity Capital,AARTISURF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,8.0,,,8.0,,,8.0,,,8.0,
Reserves,AARTISURF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,,,125.0,,,128.0,,,160.0,,,210.0,
Borrowings,AARTISURF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.0,,,152.0,,,162.0,,,149.0,,,99.0,
Other Liabilities,AARTISURF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,,102.0,,,105.0,,,86.0,,,105.0,
Total Liabilities,AARTISURF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.0,,,387.0,,,402.0,,,404.0,,,422.0,
Fixed Assets,AARTISURF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.0,,,187.0,,,173.0,,,207.0,,,208.0,
CWIP,AARTISURF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,20.0,,,52.0,,,8.0,,,8.0,
Investments,AARTISURF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,
Other Assets,AARTISURF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,,,180.0,,,178.0,,,188.0,,,206.0,
Total Assets,AARTISURF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.0,,,387.0,,,402.0,,,404.0,,,422.0,
Equity Capital,ABB,,,,,,42.0,,,42.0,,,,42.0,,,,42.0,,,42.0,,,42.0,,,42.0,,,42.0,,,42.0,,,42.0,,,42.0,,,42.0,,42.0
Reserves,ABB,,,,,,2556.0,,,2635.0,,,,2770.0,,,,2966.0,,,3244.0,,,3565.0,,,3965.0,,,3478.0,,,3564.0,,,4003.0,,,4897.0,,,5902.0,,6299.0
Borrowings,ABB,,,,,,328.0,,,620.0,,,,371.0,,,,600.0,,,600.0,,,608.0,,,7.0,,,14.0,,,58.0,,,37.0,,,33.0,,,49.0,,47.0
Other Liabilities,ABB,,,,,,3544.0,,,3752.0,,,,3639.0,,,,3800.0,,,3844.0,,,4673.0,,,5063.0,,,4167.0,,,3926.0,,,3991.0,,,4346.0,,,5008.0,,5315.0
Total Liabilities,ABB,,,,,,6470.0,,,7050.0,,,,6822.0,,,,7409.0,,,7731.0,,,8888.0,,,9077.0,,,7701.0,,,7590.0,,,8073.0,,,9318.0,,,11001.0,,11703.0
Fixed Assets,ABB,,,,,,1207.0,,,1392.0,,,,1400.0,,,,1298.0,,,1255.0,,,1219.0,,,893.0,,,742.0,,,783.0,,,817.0,,,899.0,,,994.0,,1005.0
CWIP,ABB,,,,,,117.0,,,47.0,,,,32.0,,,,44.0,,,68.0,,,116.0,,,83.0,,,59.0,,,75.0,,,77.0,,,69.0,,,60.0,,65.0
Investments,ABB,,,,,,52.0,,,17.0,,,,16.0,,,,16.0,,,16.0,,,271.0,,,0.0,,,0.0,,,0.0,,,0.0,,,493.0,,,2.0,,2.0
Other Assets,ABB,,,,,,5093.0,,,5594.0,,,,5374.0,,,,6050.0,,,6392.0,,,7282.0,,,8101.0,,,6900.0,,,6733.0,,,7179.0,,,7857.0,,,9946.0,,10632.0
Total Assets,ABB,,,,,,6470.0,,,7050.0,,,,6822.0,,,,7409.0,,,7731.0,,,8888.0,,,9077.0,,,7701.0,,,7590.0,,,8073.0,,,9318.0,,,11001.0,,11703.0
Equity Capital,ACC,,,,,,188.0,,,188.0,,,,188.0,,,,188.0,,,188.0,,,188.0,,,188.0,,,188.0,,,188.0,,,188.0,,,,188.0,,,188.0,
Reserves,ACC,,,,,,7184.0,,,7625.0,,,,8030.0,,,,8233.0,,,8625.0,,,9168.0,,,10344.0,,,11356.0,,,12511.0,,,14121.0,,,,13950.0,,,16142.0,
Borrowings,ACC,,,,,,163.0,,,35.0,,,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,102.0,,,126.0,,,,153.0,,,355.0,
Other Liabilities,ACC,,,,,,4393.0,,,4253.0,,,,4464.0,,,,4379.0,,,4581.0,,,5490.0,,,5524.0,,,5592.0,,,5399.0,,,6604.0,,,,6252.0,,,6701.0,
Total Liabilities,ACC,,,,,,11928.0,,,12101.0,,,,12682.0,,,,12800.0,,,13394.0,,,14846.0,,,16056.0,,,17136.0,,,18200.0,,,21039.0,,,,20544.0,,,23386.0,
Fixed Assets,ACC,,,,,,5931.0,,,5570.0,,,,5666.0,,,,5331.0,,,7568.0,,,7280.0,,,7088.0,,,7027.0,,,6694.0,,,6750.0,,,,7512.0,,,10025.0,
CWIP,ACC,,,,,,315.0,,,832.0,,,,1956.0,,,,2396.0,,,261.0,,,269.0,,,398.0,,,446.0,,,548.0,,,1216.0,,,,1684.0,,,986.0,
Investments,ACC,,,,,,2479.0,,,2126.0,,,,1385.0,,,,1314.0,,,117.0,,,95.0,,,104.0,,,116.0,,,129.0,,,150.0,,,,163.0,,,811.0,
Other Assets,ACC,,,,,,3203.0,,,3573.0,,,,3675.0,,,,3759.0,,,5448.0,,,7202.0,,,8466.0,,,9547.0,,,10828.0,,,12923.0,,,,11185.0,,,11564.0,
Total Assets,ACC,,,,,,11928.0,,,12101.0,,,,12682.0,,,,12800.0,,,13394.0,,,14846.0,,,16056.0,,,17136.0,,,18200.0,,,21039.0,,,,20544.0,,,23386.0,
Equity Capital,ADANIENT,,,,,,,110.0,,,110.0,,,,110.0,,,,110.0,,,110.0,,,110.0,,,110.0,,,110.0,,,110.0,,,110.0,,,114.0,,,114.0,
Reserves,ADANIENT,,,,,,,21286.0,,,23647.0,,,,25618.0,,,,13268.0,,,14026.0,,,14979.0,,,14646.0,,,16837.0,,,17049.0,,,22147.0,,,32937.0,,,38962.0,
Borrowings,ADANIENT,,,,,,,69332.0,,,71980.0,,,,83571.0,,,,19169.0,,,20846.0,,,17637.0,,,11243.0,,,12419.0,,,16227.0,,,41604.0,,,53200.0,,,65310.0,
Other Liabilities,ADANIENT,,,,,,,21143.0,,,22365.0,,,,21420.0,,,,9132.0,,,12630.0,,,23679.0,,,16537.0,,,17509.0,,,18231.0,,,37726.0,,,55027.0,,,56200.0,
Total Liabilities,ADANIENT,,,,,,,111871.0,,,118102.0,,,,130718.0,,,,41679.0,,,47611.0,,,56405.0,,,42536.0,,,46875.0,,,51617.0,,,101586.0,,,141278.0,,,160586.0,
Fixed Assets,ADANIENT,,,,,,,48770.0,,,70579.0,,,,83834.0,,,,10473.0,,,13668.0,,,10555.0,,,9020.0,,,10476.0,,,10838.0,,,30123.0,,,56881.0,,,65978.0,
CWIP,ADANIENT,,,,,,,29248.0,,,13574.0,,,,6733.0,,,,7705.0,,,7731.0,,,5526.0,,,5765.0,,,7347.0,,,8825.0,,,23544.0,,,24025.0,,,35180.0,
Investments,ADANIENT,,,,,,,323.0,,,288.0,,,,744.0,,,,805.0,,,1042.0,,,1461.0,,,1511.0,,,1952.0,,,5503.0,,,4292.0,,,6310.0,,,8701.0,
Other Assets,ADANIENT,,,,,,,33529.0,,,33661.0,,,,39407.0,,,,22696.0,,,25170.0,,,38864.0,,,26240.0,,,27099.0,,,26451.0,,,43627.0,,,54062.0,,,50728.0,
Total Assets,ADANIENT,,,,,,,111871.0,,,118102.0,,,,130718.0,,,,41679.0,,,47611.0,,,56405.0,,,42536.0,,,46875.0,,,51617.0,,,101586.0,,,141278.0,,,160586.0,
Equity Capital,AFFLE,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,24.0,,,26.0,,,26.0,,,27.0,,,27.0,,,28.0,
Reserves,AFFLE,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,48.0,,,204.0,,,333.0,,,1151.0,,,1438.0,,,2470.0,
Borrowings,AFFLE,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,9.0,,,68.0,,,119.0,,,149.0,,,106.0,,,183.0,
Other Liabilities,AFFLE,,,,,,,,,,,,,,,,,,,,,,,,46.0,,,77.0,,,105.0,,,275.0,,,497.0,,,437.0,,,602.0,
Total Liabilities,AFFLE,,,,,,,,,,,,,,,,,,,,,,,,76.0,,,158.0,,,402.0,,,753.0,,,1824.0,,,2008.0,,,3283.0,
Fixed Assets,AFFLE,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,57.0,,,163.0,,,361.0,,,699.0,,,786.0,,,1242.0,
CWIP,AFFLE,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2.0,,,5.0,,,40.0,,,42.0,,,49.0,,,0.0,
Investments,AFFLE,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,76.0,,,135.0,,,0.0,,,37.0,
Other Assets,AFFLE,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,99.0,,,234.0,,,276.0,,,948.0,,,1174.0,,,2003.0,
Total Assets,AFFLE,,,,,,,,,,,,,,,,,,,,,,,,76.0,,,158.0,,,402.0,,,753.0,,,1824.0,,,2008.0,,,3283.0,
Equity Capital,ALKYLAMINE,,,,,,,10.0,,,10.0,,,,10.0,,,,10.0,,,10.0,,,10.0,,,10.0,,,10.0,,,10.0,,,10.0,,,10.0,,,10.0,
Reserves,ALKYLAMINE,,,,,,,97.0,,,130.0,,,,165.0,,,,189.0,,,235.0,,,287.0,,,355.0,,,526.0,,,782.0,,,980.0,,,1159.0,,,1257.0,
Borrowings,ALKYLAMINE,,,,,,,146.0,,,151.0,,,,135.0,,,,111.0,,,120.0,,,181.0,,,165.0,,,87.0,,,47.0,,,23.0,,,88.0,,,3.0,
Other Liabilities,ALKYLAMINE,,,,,,,79.0,,,98.0,,,,93.0,,,,95.0,,,147.0,,,159.0,,,218.0,,,160.0,,,306.0,,,359.0,,,335.0,,,314.0,
Total Liabilities,ALKYLAMINE,,,,,,,332.0,,,388.0,,,,402.0,,,,406.0,,,512.0,,,637.0,,,749.0,,,783.0,,,1145.0,,,1371.0,,,1592.0,,,1584.0,
Fixed Assets,ALKYLAMINE,,,,,,,126.0,,,155.0,,,,151.0,,,,187.0,,,220.0,,,355.0,,,376.0,,,423.0,,,458.0,,,629.0,,,719.0,,,1089.0,
CWIP,ALKYLAMINE,,,,,,,9.0,,,3.0,,,,31.0,,,,16.0,,,35.0,,,18.0,,,43.0,,,45.0,,,138.0,,,143.0,,,352.0,,,36.0,
Investments,ALKYLAMINE,,,,,,,2.0,,,2.0,,,,2.0,,,,2.0,,,1.0,,,1.0,,,1.0,,,0.0,,,30.0,,,0.0,,,0.0,,,0.0,
Other Assets,ALKYLAMINE,,,,,,,195.0,,,229.0,,,,218.0,,,,201.0,,,256.0,,,262.0,,,328.0,,,315.0,,,520.0,,,600.0,,,521.0,,,459.0,
Total Assets,ALKYLAMINE,,,,,,,332.0,,,388.0,,,,402.0,,,,406.0,,,512.0,,,637.0,,,749.0,,,783.0,,,1145.0,,,1371.0,,,1592.0,,,1584.0,
Equity Capital,ANGELONE,,,,,,,,,,,,,,14.0,,,,14.0,,,14.0,,,72.0,,,72.0,,,72.0,,,82.0,,,83.0,,,83.0,,,84.0,
Reserves,ANGELONE,,,,,,,,,,,,,,332.0,,,,355.0,,,375.0,,,403.0,,,459.0,,,519.0,,,1049.0,,,1502.0,,,2078.0,,,2955.0,
Borrowings,ANGELONE,,,,,,,,,,,,,,333.0,,,,358.0,,,772.0,,,1125.0,,,872.0,,,491.0,,,1171.0,,,1258.0,,,788.0,,,2541.0,
Other Liabilities,ANGELONE,,,,,,,,,,,,,,295.0,,,,411.0,,,641.0,,,767.0,,,805.0,,,1108.0,,,2511.0,,,4378.0,,,4528.0,,,7674.0,
Total Liabilities,ANGELONE,,,,,,,,,,,,,,974.0,,,,1139.0,,,1803.0,,,2367.0,,,2209.0,,,2190.0,,,4814.0,,,7220.0,,,7478.0,,,13254.0,
Fixed Assets,ANGELONE,,,,,,,,,,,,,,121.0,,,,122.0,,,123.0,,,116.0,,,134.0,,,124.0,,,115.0,,,152.0,,,187.0,,,409.0,
CWIP,ANGELONE,,,,,,,,,,,,,,1.0,,,,3.0,,,1.0,,,0.0,,,1.0,,,2.0,,,0.0,,,12.0,,,62.0,,,1.0,
Investments,ANGELONE,,,,,,,,,,,,,,0.0,,,,0.0,,,50.0,,,6.0,,,15.0,,,35.0,,,6.0,,,19.0,,,109.0,,,0.0,
Other Assets,ANGELONE,,,,,,,,,,,,,,852.0,,,,1014.0,,,1630.0,,,2246.0,,,2059.0,,,2029.0,,,4693.0,,,7037.0,,,7120.0,,,12844.0,
Total Assets,ANGELONE,,,,,,,,,,,,,,974.0,,,,1139.0,,,1803.0,,,2367.0,,,2209.0,,,2190.0,,,4814.0,,,7220.0,,,7478.0,,,13254.0,
Equity Capital,ARE&M,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,17.0,,,17.0,,,17.0,,,17.0,,,18.0,
Reserves,ARE&M,,,,,,,,,,,,,,,,,,,,,,,,,,,3318.0,,,3638.0,,,4193.0,,,4535.0,,,5990.0,,,6780.0,
Borrowings,ARE&M,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,,,84.0,,,92.0,,,126.0,,,201.0,,,157.0,
Other Liabilities,ARE&M,,,,,,,,,,,,,,,,,,,,,,,,,,,1102.0,,,1261.0,,,1495.0,,,1698.0,,,1753.0,,,2021.0,
Total Liabilities,ARE&M,,,,,,,,,,,,,,,,,,,,,,,,,,,4496.0,,,5000.0,,,5797.0,,,6376.0,,,7961.0,,,8976.0,
Fixed Assets,ARE&M,,,,,,,,,,,,,,,,,,,,,,,,,,,1813.0,,,1829.0,,,2455.0,,,2492.0,,,3747.0,,,3807.0,
CWIP,ARE&M,,,,,,,,,,,,,,,,,,,,,,,,,,,315.0,,,827.0,,,399.0,,,830.0,,,249.0,,,641.0,
Investments,ARE&M,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,156.0,,,280.0,,,77.0,,,427.0,,,714.0,
Other Assets,ARE&M,,,,,,,,,,,,,,,,,,,,,,,,,,,2348.0,,,2189.0,,,2663.0,,,2977.0,,,3538.0,,,3814.0,
Total Assets,ARE&M,,,,,,,,,,,,,,,,,,,,,,,,,,,4496.0,,,5000.0,,,5797.0,,,6376.0,,,7961.0,,,8976.0,
Equity Capital,ASAHIINDIA,,,,,,,16.0,,,24.0,,,,24.0,,,,24.0,,,24.0,,,24.0,,,24.0,,,24.0,,,24.0,,,24.0,,,24.0,,,24.0,
Reserves,ASAHIINDIA,,,,,,,74.0,,,217.0,,,,257.0,,,,330.0,,,902.0,,,1051.0,,,1191.0,,,1278.0,,,1415.0,,,1738.0,,,2050.0,,,2329.0,
Borrowings,ASAHIINDIA,,,,,,,1546.0,,,1395.0,,,,1419.0,,,,1319.0,,,1221.0,,,1373.0,,,1643.0,,,1762.0,,,1566.0,,,1238.0,,,1401.0,,,1968.0,
Other Liabilities,ASAHIINDIA,,,,,,,699.0,,,677.0,,,,560.0,,,,598.0,,,682.0,,,833.0,,,831.0,,,799.0,,,768.0,,,776.0,,,1104.0,,,1179.0,
Total Liabilities,ASAHIINDIA,,,,,,,2335.0,,,2313.0,,,,2260.0,,,,2272.0,,,2830.0,,,3281.0,,,3689.0,,,3863.0,,,3773.0,,,3777.0,,,4580.0,,,5500.0,
Fixed Assets,ASAHIINDIA,,,,,,,1237.0,,,1177.0,,,,1143.0,,,,1134.0,,,1588.0,,,1907.0,,,1956.0,,,2035.0,,,2221.0,,,2323.0,,,2395.0,,,2616.0,
CWIP,ASAHIINDIA,,,,,,,33.0,,,43.0,,,,41.0,,,,65.0,,,85.0,,,114.0,,,453.0,,,489.0,,,262.0,,,91.0,,,235.0,,,826.0,
Investments,ASAHIINDIA,,,,,,,13.0,,,14.0,,,,16.0,,,,19.0,,,27.0,,,42.0,,,48.0,,,55.0,,,69.0,,,85.0,,,112.0,,,85.0,
Other Assets,ASAHIINDIA,,,,,,,1052.0,,,1079.0,,,,1060.0,,,,1054.0,,,1129.0,,,1218.0,,,1232.0,,,1284.0,,,1222.0,,,1278.0,,,1839.0,,,1972.0,
Total Assets,ASAHIINDIA,,,,,,,2335.0,,,2313.0,,,,2260.0,,,,2272.0,,,2830.0,,,3281.0,,,3689.0,,,3863.0,,,3773.0,,,3777.0,,,4580.0,,,5500.0,
